direccion_original,direccion_consulta,direccion_candidatas,direccion_normalizada,latitud,longitud,barrio_usig,comuna_usig,comuna_fuente,coincide_comuna,precision,estado,calidad_geo,criterio_seleccion,fecha_consulta
"RODO, JOSE E. 5935",RODO 5935,RODO 5935 | JOSE E RODO 5935,"RODO, JOSE E. 5935, CABA",-34.65519,-58.500161,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CAJARAVILLA 4111,CAJARAVILLA 4111,CAJARAVILLA 4111,"CAJARAVILLA 4111, CABA",-34.638149,-58.484219,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BARCO CENTENERA del 1250,BARCO CENTENERA DEL 1250,BARCO CENTENERA DEL 1250,"BARCO CENTENERA DEL 1250, CABA",-34.633921,-58.436103,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIESTRA AV. 5726,RIESTRA 5726,RIESTRA 5726 | AV RIESTRA 5726 | AVENIDA RIESTRA 5726,"RIESTRA AV. 5726, CABA",-34.677564,-58.475437,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ALBERDI, JUAN BAUTISTA AV. 4348",ALBERDI 4348,ALBERDI 4348 | JUAN BAUTISTA ALBERDI 4348 | AV JUAN BAUTISTA ALBERDI 4348,"ALBERDI, JUAN BAUTISTA AV. 4348, CABA",-34.640976,-58.486909,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LEOPARDI 7,LEOPARDI 7,LEOPARDI 7,"LEOPARDI 7, CABA",-34.637464,-58.498007,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
NAZCA 4597,NAZCA 4597,NAZCA 4597,"NAZCA 4597, CABA",-34.587181,-58.501306,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CRAMER AV. 3226,CRAMER 3226,CRAMER 3226 | AV CRAMER 3226 | AVENIDA CRAMER 3226,"CRAMER AV. 3226, CABA",-34.554875,-58.470064,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CRAMER 4345,CRAMER 4345,CRAMER 4345,"CRAMER 4345, CABA",-34.544865,-58.476402,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BOCAYUVA, QUINTINO 352",BOCAYUVA 352,BOCAYUVA 352 | QUINTINO BOCAYUVA 352,"BOCAYUVA, QUINTINO 352, CABA",-34.616332,-58.422761,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ZAPIOLA 2077,ZAPIOLA 2077,ZAPIOLA 2077,"ZAPIOLA 2077, CABA",-34.566242,-58.463079,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"CHILAVERT, MARTINIANO, CORONEL 6288",CHILAVERT 6288,CHILAVERT 6288 | MARTINIANO CORONEL CHILAVERT 6288,"CHILAVERT, MARTINIANO, CORONEL 6288, CABA",-34.68518,-58.474748,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"PERON, JUAN DOMINGO, TTE. GENERAL 3844",PERON 3844,PERON 3844 | JUAN DOMINGO TENIENTE GENERAL PERON 3844,"PERON, JUAN DOMINGO, TTE. GENERAL 3844, CABA",-34.606057,-58.420483,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"CASTRO, EMILIO AV. 6718",CASTRO 6718,CASTRO 6718 | EMILIO CASTRO 6718 | AV EMILIO CASTRO 6718,"CASTRO, EMILIO AV. 6718, CABA",-34.651628,-58.514558,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GORRITI 3606,GORRITI 3606,GORRITI 3606,"GORRITI 3606, CABA",-34.595637,-58.415311,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ARTIGAS, JOSE GERVASIO, GRAL. 5063",ARTIGAS 5063,ARTIGAS 5063 | JOSE GERVASIO GENERAL ARTIGAS 5063,"ARTIGAS, JOSE GERVASIO, GRAL. 5063, CABA",-34.580618,-58.500187,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
VIRGILIO 1512,VIRGILIO 1512,VIRGILIO 1512,"VIRGILIO 1512, CABA",-34.625053,-58.512791,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
INDEPENDENCIA AV. 2502,INDEPENDENCIA 2502,INDEPENDENCIA 2502 | AV INDEPENDENCIA 2502 | AVENIDA INDEPENDENCIA 2502,"INDEPENDENCIA AV. 2502, CABA",-34.618759,-58.401095,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
THAMES 880,THAMES 880,THAMES 880,"THAMES 880, CABA",-34.592844,-58.43897,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LA PLATA AV. 462,LA PLATA 462,LA PLATA 462 | AV LA PLATA 462 | AVENIDA LA PLATA 462,"LA PLATA AV. 462, CABA",-34.620065,-58.428087,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BARCO CENTENERA del 1246,BARCO CENTENERA DEL 1246,BARCO CENTENERA DEL 1246,"BARCO CENTENERA DEL 1246, CABA",-34.633853,-58.436148,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MEDRANO AV. 655,MEDRANO 655,MEDRANO 655 | AV MEDRANO 655 | AVENIDA MEDRANO 655,"MEDRANO AV. 655, CABA",-34.602465,-58.420791,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SEGUROLA AV. 1720,SEGUROLA 1720,SEGUROLA 1720 | AV SEGUROLA 1720 | AVENIDA SEGUROLA 1720,"SEGUROLA AV. 1720, CABA",-34.620298,-58.499653,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BRAGADO 6899,BRAGADO 6899,BRAGADO 6899,"BRAGADO 6899, CABA",-34.659401,-58.510034,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DIRECTORIO AV. 2399,DIRECTORIO 2399,DIRECTORIO 2399 | AV DIRECTORIO 2399 | AVENIDA DIRECTORIO 2399,"DIRECTORIO AV. 2399, CABA",-34.633377,-58.460635,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"VIALE, LUIS 346",VIALE 346,VIALE 346 | LUIS VIALE 346,"VIALE, LUIS 346, CABA",-34.603835,-58.446384,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CORRIENTES AV. 3961,CORRIENTES 3961,CORRIENTES 3961 | AV CORRIENTES 3961 | AVENIDA CORRIENTES 3961,"CORRIENTES AV. 3961, CABA",-34.603143,-58.420429,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"OLMOS, AMBROSIO 1296",OLMOS 1296,OLMOS 1296 | AMBROSIO OLMOS 1296,"OLMOS, AMBROSIO 1296, CABA",-34.634084,-58.382373,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
VIAMONTE 2872,VIAMONTE 2872,VIAMONTE 2872,"VIAMONTE 2872, CABA",-34.600769,-58.406394,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"MITRE, BARTOLOME 4200",MITRE 4200,MITRE 4200 | BARTOLOME MITRE 4200,"MITRE, BARTOLOME 4200, CABA",-34.610331,-58.425835,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
TRIUNVIRATO AV. 4437,TRIUNVIRATO 4437,TRIUNVIRATO 4437 | AV TRIUNVIRATO 4437 | AVENIDA TRIUNVIRATO 4437,"TRIUNVIRATO AV. 4437, CABA",-34.576198,-58.483201,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
VELEZ SARSFIELD AV. 1681,VELEZ SARSFIELD 1681,VELEZ SARSFIELD 1681 | AV VELEZ SARSFIELD 1681 | AVENIDA VELEZ SARSFIELD 1681,"VELEZ SARSFIELD AV. 1681, CABA",-34.655057,-58.38881,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GODOY CRUZ 2809,GODOY CRUZ 2809,GODOY CRUZ 2809,"GODOY CRUZ 2809, CABA",-34.577592,-58.424198,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ROSETI 2075,ROSETI 2075,ROSETI 2075,"ROSETI 2075, CABA",-34.581544,-58.470422,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIVADAVIA AV. 2976,RIVADAVIA 2976,RIVADAVIA 2976 | AV RIVADAVIA 2976 | AVENIDA RIVADAVIA 2976,"RIVADAVIA AV. 2976, CABA",-34.610394,-58.40862,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ARCOS 2181,ARCOS 2181,ARCOS 2181,"ARCOS 2181, CABA",-34.559601,-58.45446,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAN JOSE 699,SAN JOSE 699,SAN JOSE 699,"SAN JOSE 699, CABA",-34.616575,-58.385943,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"IRIARTE, GRAL. 1548",IRIARTE 1548,IRIARTE 1548 | GENERAL IRIARTE 1548,"IRIARTE, GRAL. 1548, CABA",-34.647895,-58.371007,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SEGUROLA AV. 1934,SEGUROLA 1934,SEGUROLA 1934 | AV SEGUROLA 1934 | AVENIDA SEGUROLA 1934,"SEGUROLA AV. 1934, CABA",-34.618786,-58.501538,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
FITZ ROY 2317,FITZ ROY 2317,FITZ ROY 2317,"FITZ ROY 2317, CABA",-34.579297,-58.430673,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
HEREDIA 582,HEREDIA 582,HEREDIA 582,"HEREDIA 582, CABA",-34.586118,-58.464578,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ARGENTINA AV. 5654,ARGENTINA 5654,ARGENTINA 5654 | AV ARGENTINA 5654 | AVENIDA ARGENTINA 5654,"ARGENTINA AV. 5654, CABA",-34.672955,-58.479266,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ARGENTINA AV. 5674,ARGENTINA 5674,ARGENTINA 5674 | AV ARGENTINA 5674 | AVENIDA ARGENTINA 5674,"ARGENTINA AV. 5674, CABA",-34.672958,-58.479374,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LA PAMPA 4218,LA PAMPA 4218,LA PAMPA 4218,"LA PAMPA 4218, CABA",-34.575227,-58.472041,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ALVAREZ, JULIAN 2097",ALVAREZ 2097,ALVAREZ 2097 | JULIAN ALVAREZ 2097,"ALVAREZ, DONATO, TTE. GRAL. AV. 2097, CABA",-34.603082,-58.464744,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
GUEMES 2991,GUEMES 2991,GUEMES 2991,"GUEMES 2991, CABA",-34.591833,-58.40882,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
REPUBLICA BOLIVARIANA DE VENEZUELA 3501,REPUBLICA BOLIVARIANA DE VENEZUELA 3501,REPUBLICA BOLIVARIANA DE VENEZUELA 3501,"REPUBLICA BOLIVARIANA DE VENEZUELA 3501, CABA",-34.617222,-58.415732,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MALABIA 1395,MALABIA 1395,MALABIA 1395,"MALABIA 1395, CABA",-34.592266,-58.429207,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
PEDERNERA 294,PEDERNERA 294,PEDERNERA 294,"PEDERNERA 294, CABA",-34.632689,-58.462628,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SANTA FE AV. 3934,SANTA FE 3934,SANTA FE 3934 | AV SANTA FE 3934 | AVENIDA SANTA FE 3934,"SANTA FE AV. 3934, CABA",-34.583229,-58.418928,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LOPE DE VEGA 303,LOPE DE VEGA 303,LOPE DE VEGA 303,"LOPE DE VEGA 303, CABA",-34.63503,-58.499897,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
AZURDUY JUANA 3468,AZURDUY JUANA 3468,AZURDUY JUANA 3468,"AZURDUY JUANA 3468, CABA",-34.556092,-58.476148,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ESMERALDA 874,ESMERALDA 874,ESMERALDA 874,"ESMERALDA 874, CABA",-34.598121,-58.378378,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DIAZ VELEZ AV. 5540,DIAZ VELEZ 5540,DIAZ VELEZ 5540 | AV DIAZ VELEZ 5540 | AVENIDA DIAZ VELEZ 5540,"DIAZ VELEZ AV. 5540, CABA",-34.608013,-58.444422,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ JONTE 2493,ALVAREZ JONTE 2493,ALVAREZ JONTE 2493,"ALVAREZ JONTE 2493, CABA",-34.607201,-58.477332,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
LASCANO 2062,LASCANO 2062,LASCANO 2062,"LASCANO 2062, CABA",-34.601312,-58.476023,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DOBLAS 249,DOBLAS 249,DOBLAS 249,"DOBLAS 249, CABA",-34.619281,-58.431487,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SANTIAGO DEL ESTERO 1022,SANTIAGO DEL ESTERO 1022,SANTIAGO DEL ESTERO 1022,"SANTIAGO DEL ESTERO 1022, CABA",-34.62002,-58.384313,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"LOZANO, PEDRO 5431",LOZANO 5431,LOZANO 5431 | PEDRO LOZANO 5431,"LOZANO, PEDRO 5431, CABA",-34.619078,-58.521528,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
AQUINO 5669,AQUINO 5669,AQUINO 5669,"AQUINO 5669, CABA",-34.675065,-58.477234,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MONROE 2095,MONROE 2095,MONROE 2095,"MONROE 2095, CABA",-34.556501,-58.457024,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"TRELLES, MANUEL R. 2110",TRELLES 2110,TRELLES 2110 | MANUEL R TRELLES 2110,"TRELLES, MANUEL R. 2110, CABA",-34.6038,-58.46622,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CAÑADA DE GOMEZ 801,CANADA DE GOMEZ 801,CANADA DE GOMEZ 801,"CAÑADA DE GOMEZ 801, CABA",-34.647968,-58.521828,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ALCORTA, AMANCIO AV. 3331",ALCORTA 3331,ALCORTA 3331 | AMANCIO ALCORTA 3331 | AV AMANCIO ALCORTA 3331,"ALCORTA, AMANCIO AV. 3331, CABA",-34.650991,-58.4066,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DEL LIBERTADOR AV. 740,DEL LIBERTADOR 740,DEL LIBERTADOR 740 | AV DEL LIBERTADOR 740 | AVENIDA DEL LIBERTADOR 740,"DEL LIBERTADOR AV. 740, CABA",-34.588102,-58.383406,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
PORTELA 54,PORTELA 54,PORTELA 54,"PORTELA 54, CABA",-34.632457,-58.473135,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MEXICO 3602,MEXICO 3602,MEXICO 3602,"MEXICO 3602, CABA",-34.619855,-58.416741,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALVAREZ JONTE AV. 4212,ALVAREZ JONTE 4212,ALVAREZ JONTE 4212 | AV ALVAREZ JONTE 4212 | AVENIDA ALVAREZ JONTE 4212,"ALVAREZ JONTE AV. 4212, CABA",-34.616391,-58.499232,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BEIRO, FRANCISCO AV. 4951",BEIRO 4951,BEIRO 4951 | FRANCISCO BEIRO 4951 | AV FRANCISCO BEIRO 4951,"BEIRO, FRANCISCO AV. 4951, CABA",-34.610814,-58.52,,11,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
PIEDRAS 452,PIEDRAS 452,PIEDRAS 452,"PIEDRAS 452, CABA",-34.613483,-58.377527,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
RIVADAVIA AV. 6254,RIVADAVIA 6254,RIVADAVIA 6254 | AV RIVADAVIA 6254 | AVENIDA RIVADAVIA 6254,"RIVADAVIA AV. 6254, CABA",-34.625966,-58.454673,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ENTRE RIOS AV. 1523,ENTRE RIOS 1523,ENTRE RIOS 1523 | AV ENTRE RIOS 1523 | AVENIDA ENTRE RIOS 1523,"ENTRE RIOS AV. 1523, CABA",-34.626625,-58.39133,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DE LOS CONSTITUYENTES AV. 5789,DE LOS CONSTITUYENTES 5789,DE LOS CONSTITUYENTES 5789 | AV DE LOS CONSTITUYENTES 5789 | AVENIDA DE LOS CONSTITUYENTES 5789,"DE LOS CONSTITUYENTES AV. 5789, CABA",-34.573623,-58.502736,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"DIAZ, CESAR, GRAL. 4422",DIAZ 4422,DIAZ 4422 | CESAR GENERAL DIAZ 4422,"DIAZ, CESAR, GRAL. 4422, CABA",-34.624728,-58.494334,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"PAZ, GRAL. AV. 10694",PAZ 10694,PAZ 10694 | GENERAL PAZ 10694 | AV GENERAL PAZ 10694,"PAZ, GRAL. AV. 10694, CABA",-34.640351,-58.528966,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MONROE 2573,MONROE 2573,MONROE 2573,"MONROE 2573, CABA",-34.559175,-58.461524,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
INDEPENDENCIA AV. 3840,INDEPENDENCIA 3840,INDEPENDENCIA 3840 | AV INDEPENDENCIA 3840 | AVENIDA INDEPENDENCIA 3840,"INDEPENDENCIA AV. 3840, CABA",-34.621321,-58.420001,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BOYACA AV. 99,BOYACA 99,BOYACA 99 | AV BOYACA 99 | AVENIDA BOYACA 99,"BOYACA AV. 99, CABA",-34.6257,-58.457266,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
AZUL 92,AZUL 92,AZUL 92,"AZUL 92, CABA",-34.633487,-58.475059,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MELIAN AV. 4273,MELIAN 4273,MELIAN 4273 | AV MELIAN 4273 | AVENIDA MELIAN 4273,"MELIAN AV. 4273, CABA",-34.549857,-58.483757,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"FALCON, RAMON L.,CNEL. 7174",FALCON 7174,FALCON 7174 | RAMON L CORONEL FALCON 7174,"FALCON, RAMON L.,CNEL. 7174, CABA",-34.640373,-58.527311,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"EINSTEIN, ALBERTO 1054",EINSTEIN 1054,EINSTEIN 1054 | ALBERTO EINSTEIN 1054,"EINSTEIN, ALBERTO 1054, CABA",-34.656897,-58.409799,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"ALVEAR, MARCELO T. De 806",ALVEAR 806,ALVEAR 806 | MARCELO T DE ALVEAR 806,"ALVEAR, MARCELO T. DE 806, CABA",-34.596429,-58.378702,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BARCO CENTENERA del 801,BARCO CENTENERA DEL 801,BARCO CENTENERA DEL 801,"BARCO CENTENERA DEL 801, CABA",-34.629187,-58.439377,,7,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
DORREGO AV. 676,DORREGO 676,DORREGO 676 | AV DORREGO 676 | AVENIDA DORREGO 676,"DORREGO AV. 676, CABA",-34.592901,-58.449065,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MOSCONI GENERAL AV. 2192,MOSCONI 2192,MOSCONI 2192 | AV MOSCONI 2192 | AVENIDA MOSCONI 2192,"MOSCONI GENERAL AV. 2192, CABA",-34.581371,-58.494084,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MENDOZA 2894,MENDOZA 2894,MENDOZA 2894,"MENDOZA 2894, CABA",-34.56374,-58.461937,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
OTAMENDI 443,OTAMENDI 443,OTAMENDI 443,"OTAMENDI 443, CABA",-34.611725,-58.433278,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ESTADOS UNIDOS 3704,ESTADOS UNIDOS 3704,ESTADOS UNIDOS 3704,"ESTADOS UNIDOS 3704, CABA",-34.622644,-58.418117,,5,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
CHARCAS 2902,CHARCAS 2902,CHARCAS 2902,"CHARCAS 2902, CABA",-34.593581,-58.40732,,2,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
AREVALO 1933,AREVALO 1933,AREVALO 1933,"AREVALO 1933, CABA",-34.579261,-58.4384,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BAHIA BLANCA 2199,BAHIA BLANCA 2199,BAHIA BLANCA 2199,"BAHIA BLANCA 2199, CABA",-34.614023,-58.497662,,10,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
SAN JUAN AV. 1838,SAN JUAN 1838,SAN JUAN 1838 | AV SAN JUAN 1838 | AVENIDA SAN JUAN 1838,"SAN JUAN BAUTISTA DE LA SALLE AV. 1838, CABA",-34.65324,-58.48261,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
VIDT 1892,VIDT 1892,VIDT 1892,"VIDT 1892, CABA",-34.590155,-58.41505,,14,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
TRAFUL 3838,TRAFUL 3838,TRAFUL 3838,"TRAFUL 3838, CABA",-34.651985,-58.414868,,4,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ALBARELLOS AV. 2666,ALBARELLOS 2666,ALBARELLOS 2666 | AV ALBARELLOS 2666 | AVENIDA ALBARELLOS 2666,"ALBARELLOS AV. 2666, CABA",-34.576127,-58.507282,,12,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ARGENTINA AV. 6098,ARGENTINA 6098,ARGENTINA 6098 | AV ARGENTINA 6098 | AVENIDA ARGENTINA 6098,"ARGENTINA AV. 6098, CABA",-34.673115,-58.485941,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MURGUIONDO 4060,MURGUIONDO 4060,MURGUIONDO 4060,"MURGUIONDO 4060, CABA",-34.675783,-58.4771,,8,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
MURGUIONDO 1630,MURGUIONDO 1630,MURGUIONDO 1630,"MURGUIONDO 1630, CABA",-34.653945,-58.504259,,9,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"OROÑO, NICASIO 2090",ORONO 2090,ORONO 2090 | NICASIO ORONO 2090,"OROÑO, NICASIO 2090, CABA",-34.602505,-58.461151,,15,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
ECUADOR 762,ECUADOR 762,ECUADOR 762,"ECUADOR 762, CABA",-34.601162,-58.406847,,3,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"GOYENA, PEDRO AV. 1542",GOYENA 1542,GOYENA 1542 | PEDRO GOYENA 1542 | AV PEDRO GOYENA 1542,"GOYENA, PEDRO AV. 1542, CABA",-34.628045,-58.449414,,6,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
"BALBIN, RICARDO, DR. AV. 2519",BALBIN 2519,BALBIN 2519 | RICARDO BALBIN 2519 | AV RICARDO BALBIN 2519,"BALBIN, RICARDO, DR. AV. 2519, CABA",-34.562045,-58.466602,,13,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
BOLIVAR 852,BOLIVAR 852,BOLIVAR 852,"BOLIVAR 852, CABA",-34.617798,-58.37303,,1,,,calle_altura,exacta,usig_exacta_sin_control_comuna,exacta_sin_control_comuna,2026-08-27
