nombre,barrio_oficial,sector,limites,calles_caracteristicas,hitos,nivel_reconocimiento,nivel,nota,fuente_url
Polo gastronomico de Villa Luro,Villa Luro,oeste,"Entorno de Plaza Ejercito de los Andes (Av. Rivadavia, Corvalan, Albarinos) y ejes de Ramon L. Falcon, Garcia de Cossio y Av. Larrazabal",Ramon L. Falcon (bulevar); Garcia de Cossio; Av. Larrazabal; Av. Emilio Castro,Plaza Ejercito de los Andes; estacion Villa Luro; +30 bares y cervecerias,3 · uso corriente atestiguado,3,Sin marca propia ni normativa,https://www.infogastronomica.com.ar/villa-luro-los-nuevos-bares-y-restaurantes-de-un-polo-gastronomico-que-no-para-de-crecer/
Polo gastronomico de Plaza Arenales / 'Devoto gastronomico',Villa Devoto,oeste,"Entorno de Plaza Arenales (Av. Salvador Maria del Carril, Nueva York, Bahia Blanca, Sanabria). Extension sobre Av. Chivilcoy a 3 cuadras",Diagonal Fernandez de Enciso; Nueva York; Av. Chivilcoy; Av. Salvador Maria del Carril,Plaza Arenales; Iglesia San Antonio de Padua; Cafe de Garcia y Stylo Cafe (notables),3 · uso corriente atestiguado,3,Se superpone parcialmente con el Distrito del Vino. Corresponde a R15 del Atlas,https://www.lanacion.com.ar/buenos-aires/villa-devoto-un-polo-gastronomico-que-se-consolida-en-las-noches-portenas-nid2050480/
Centro comercial de Av. Cuenca,Villa del Parque,oeste,"Eje de Av. Cuenca, nucleo entre Simbron y Tinogasta; transversal Tinogasta entre Campana y Cuenca",Av. Cuenca; Tinogasta; Simbron; Marcos Sastre; Av. Nazca,Estacion Villa del Parque; shopping de Cuenca con patio gastronomico,3 · uso corriente atestiguado,3,Sin denominacion propia,https://www.aquivilladelparque.com.ar/2021/02/villa-del-parque.html
DoHo (Donado-Holmberg),Villa Urquiza,oeste,Donado de Echeverria a La Pampa; Holmberg de Av. Monroe a Sucre,Donado; Holmberg; Av. Monroe; Echeverria; La Pampa,Parque lineal sobre la traza de la ex AU3; Ninina (Holmberg 2464),3 · uso corriente atestiguado,3,El barrio-parque SI es un proyecto urbano normado; 'DoHo' es marca de uso corriente. Corresponde a R16 del Atlas,https://www.timeout.com/es/buenos-aires/que-hacer-doho-corredor-villa-urquiza-donado-holmberg-visit-bue
Bulevar Mendoza,Villa Urquiza,oeste,"Cinco cuadras del bulevar Mendoza entre Av. Triunvirato y Barzana, mas transversales a menos de 100 m",Mendoza (bulevar); Av. Triunvirato; Barzana; Av. Olazabal,Plaza Echeverria; estacion Juan Manuel de Rosas (B); ~15 bares,3 · uso corriente atestiguado,3,Corresponde a R17 del Atlas,https://www.lanacion.com.ar/buenos-aires/villa-urquiza-crece-el-polo-gastronomico-del-bulevar-mendoza-nid1780419/
La Isla (La Paternal),La Paternal (con borde en Villa Gral. Mitre),oeste,"Triangulo entre Av. Warnes, Av. San Martin y Av. Juan B. Justo",Av. Warnes; Av. San Martin; Av. Juan B. Justo,Estadio Diego Armando Maradona; MN Santa Ines (Bib Gourmand); cervecerias artesanales,3 · uso corriente atestiguado,3,Uso corriente en alza. Parcialmente dentro del Distrito Audiovisual. DESAMBIGUAR de La Isla de Recoleta. Corresponde a R21 del Atlas,https://www.infobae.com/economia/2024/12/01/donde-queda-la-isla-un-nuevo-polo-gastronomico-y-residencial-de-la-ciudad-de-buenos-aires/
Barrio Piedrabuena,Villa Lugano,sur,"Conjunto urbano entre Av. Gral. Paz, Av. Piedrabuena, Av. Coronel Roca y Zuviria (aprox.)",Av. Piedrabuena; Av. Coronel Roca; Av. Gral. Paz,Torres del conjunto habitacional (1981); centro comercial interno,3 · uso corriente atestiguado,3,"Topónimo fuerte, pero es un conjunto habitacional, no una microzona comercial",https://es.wikipedia.org/wiki/Barrio_Comandante_Luis_Piedrabuena
La Blanqueada,Nueva Pompeya,sur,Cruce de Av. Saenz y Av. Intendente Francisco Rabanal,Av. Saenz; Av. Int. F. Rabanal; Traful,Antigua pulperia/posta que da nombre al paraje,3 · uso corriente atestiguado,3,"Nombre de esquina, no de zona",https://buenosaireshistoria.org/juntas/recorrido-por-nueva-pompeya/
Esquina de los Poetas,Nueva Pompeya,sur,Cruce de Av. Centenera y Tabare,Av. Centenera; Tabare,Referencia del tango 'Sur' de Homero Manzi; senalizacion barrial,3 · uso corriente atestiguado,3,"Nombre de esquina, no de zona",https://buenosaireshistoria.org/juntas/recorrido-por-nueva-pompeya/
Parque Chas,Parque Chas,oeste,"Av. de los Incas, Av. Combatientes de Malvinas, Av. Triunvirato y La Pampa; nucleo laberintico en Bauness, Avalos, Berna, Cadiz",Bauness; Avalos; Victorica; Berlin; Bucarelli; Av. Triunvirato,La calle que se cruza a si misma; plaza Exodo Jujeno,3 · uso corriente atestiguado,3,Barrio OFICIAL (Ley 1907/2006) pero SIN nombre de zona gastronomica: el atractivo es el trazado,https://www.infobae.com/economia/2023/09/02/laberinto-circular-la-historia-del-barrio-porteno-de-la-calle-que-se-cruza-a-si-misma-y-por-que-mantiene-su-vigencia/
Av. Larrazabal / centro de Lugano,Villa Lugano,sur,Av. Larrazabal entre Av. Riestra y Av. Coronel Roca; Av. Riestra entre Av. Larrazabal y Murguiondo,Av. Larrazabal; Av. Riestra; Murguiondo; Av. Coronel Roca,Estacion Villa Lugano; Premetro; Plaza Sudamerica,3 · uso corriente atestiguado,3,"NOMBRE DEBIL: la gente dice 'Larrazabal' o 'el centro de Lugano'. Son nombres de calle, no de zona",https://www.villalugano.com.ar/guias/comercio
Av. Saenz / Pompeya,Nueva Pompeya,sur,Av. Saenz desde Av. Amancio Alcorta hasta el Puente Ezequiel Demonty (ex Puente Alsina),Av. Saenz; Traful; Esquiu; Av. Int. F. Rabanal,Plaza Nueva Pompeya; Basilica de Nueva Pompeya; Puente Alsina; Centro de Trasbordo Saenz,3 · uso corriente atestiguado,3,NOMBRE DEBIL: no existe nombre propio de microzona gastronomica,https://buenosaireshistoria.org/juntas/recorrido-por-nueva-pompeya/
Palermo Queens,Villa Crespo (NO es Palermo),norte,"Corrientes, Pringles, Lavalleja, Cordoba, Uriarte, Thames",Aguirre; Gurruchaga; Loyola; Serrano; Murillo,,4 · DESACONSEJADO,4,"ERROR DE BARRIO: invento inmobiliario de los 90 sobre una zona que esta en Villa Crespo. Las fuentes locales lo rechazan. Si el clustering encuentra un polo ahi, la etiqueta correcta es Villa Crespo",https://palermonline.com.ar/wordpress/palermo-queens/
Calle Necochea / 'la calle de las cantinas',La Boca,sur,Eje de Necochea; las fuentes no fijan bocacalles,Necochea; Suarez; Brandsen; Olavarria,"Ex cantinas Spadavecchia, La Cueva de Zingarela, Gennarino",4 · DESACONSEJADO,4,REALIDAD EXTINGUIDA: las cantinas funcionaron de fines de los 30 a principios de los 80. Etiquetar una concentracion ACTUAL con este nombre seria un error,https://pulperia.ar/calle-necochea-gusto-en-la-boca/
Bajo Chacarita,Chacarita,norte,-,-,,4 · DESACONSEJADO,4,NO ATESTIGUADO: no aparece en Turismo BA ni en prensa establecida. Usar 'Polo gastronomico Chacarita',https://turismo.buenosaires.gob.ar/es/article/polo-gastron%C3%B3mico-chacarita
Distrito Arroyo,Retiro,centro,Calle Arroyo desde Juncal y Esmeralda hasta Plaza Carlos Pellegrini (4 cuadras),Arroyo; Suipacha; Esmeralda; Cerrito; Av. Alvear; Posadas,Floreria Atlantico (50 Best Bars #90),4 · DESACONSEJADO,4,"El nombre canonico es 'calle Arroyo'. 'Distrito Arroyo' es marketing de galeristas, sin fuente oficial",https://es.wikipedia.org/wiki/Calle_Arroyo
Esmeralda-Paraguay,Retiro,centro,-,Esmeralda; Paraguay,,4 · DESACONSEJADO,4,"NO ATESTIGUADO COMO MICROZONA: ninguna fuente lo usa. ES EL NOMBRE DE R18 EN EL ATLAS PUBLICADO. El clúster real de Retiro esta sobre Reconquista / San Martin / Paraguay / M. T. de Alvear entre Cordoba y Santa Fe, y NO tiene nombre consensuado",
Barrio de los Turcos,San Cristobal,sur,Entorno de la Iglesia de San Cristobal,-,Colectividad arabe,4 · DESACONSEJADO,4,FUENTE UNICA Y DEBIL (un portal barrial). No usar sin verificacion adicional,https://www.barriada.com.ar/san-cristobal-calles-barrios-esquinas-famosas-bares-y-puntos-de-encuentro/
