capa,polo,polo_nombre,pieza,que,orden,calle,clave_callejero,largo_m,altura_desde,altura_hasta,tramos_unidos
el borde publicado hoy,R06,Recoleta,1,contorno exterior,61,ARENALES,ARENALES,88.0,2702-2800 / 2701-2799,2702-2800 / 2701-2799,1
el borde publicado hoy,R06,Recoleta,1,contorno exterior,62,LAPRIDA,LAPRIDA,80.0,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,1,"URIBURU JOSE E., PRES.",URIBURU JOSE E PRES,92.2,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,2,JUNIN,JUNIN,60.2,1352-1400 / 1351-1399,1352-1400 / 1351-1399,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,3,AYACUCHO,AYACUCHO,116.3,1302-1400 / 1301-1399,1302-1400 / 1301-1399,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,4,CALLAO AV.,CALLAO AV,52.1,1302-1400 / 1301-1399,1302-1400 / 1301-1399,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,5,RODRIGUEZ PEÑA,RODRIGUEZ PENA,40.1,1302-1500 / 1301-1499,1302-1500 / 1301-1499,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,6,CALLAO AV.,CALLAO AV,112.3,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,7,LAS HERAS GENERAL AV.,LAS HERAS GENERAL AV,192.5,1802-1900 / 1801-1899,1902-2000 / 1901-1999,2
el borde publicado hoy,R06,Recoleta,1,hueco 1,8,JUNIN,JUNIN,96.3,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,9,"URIBURU JOSE E., PRES.",URIBURU JOSE E PRES,84.2,1602-1700 / 1601-1699,1602-1700 / 1601-1699,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,10,"PACHECO DE MELO, JOSE ANDRES",PACHECO DE MELO JOSE ANDRES,76.2,2102-2200 / 2101-2199,2102-2200 / 2101-2199,1
el borde publicado hoy,R06,Recoleta,1,hueco 1,11,PEÑA,PENA,68.2,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R07,Costanera Norte,1,contorno exterior,1,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,648.8,7102-7200 / 7101-7199,s/n / s/n,3
el borde publicado hoy,R07,Costanera Norte,1,contorno exterior,2,"CANTILO, INT.",CANTILO INT,32.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,1,contorno exterior,3,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,124.1,6202-6560 / 6201-6559,6202-6560 / 6201-6559,1
el borde publicado hoy,R07,Costanera Norte,2,contorno exterior,1,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,584.3,1752-2300 / 1751-2299,1752-2300 / 1751-2299,1
el borde publicado hoy,R07,Costanera Norte,2,contorno exterior,2,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,124.1,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,2,contorno exterior,3,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,148.1,1752-2300 / 1751-2299,1752-2300 / 1751-2299,1
el borde publicado hoy,R07,Costanera Norte,2,contorno exterior,4,SARMIENTO AV.,SARMIENTO AV,348.2,4672-4800 / 4671-4799,4672-4800 / 4671-4799,1
el borde publicado hoy,R07,Costanera Norte,2,contorno exterior,5,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,36.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,3,contorno exterior,1,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,456.3,4502-4650 / s/n,s/n / 4201-4499,1
el borde publicado hoy,R07,Costanera Norte,3,contorno exterior,2,PASEO ALFREDO ZITARROSA,PASEO ALFREDO ZITARROSA,84.1,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,3,contorno exterior,3,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,536.4,s/n / 3451-4199,3152-3300 / s/n,1
el borde publicado hoy,R07,Costanera Norte,3,contorno exterior,4,PASEO ALFREDO ZITARROSA,PASEO ALFREDO ZITARROSA,100.1,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,3,contorno exterior,5,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,156.1,3302-4200 / s/n,3302-4200 / s/n,1
el borde publicado hoy,R07,Costanera Norte,3,contorno exterior,6,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,188.1,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,3,contorno exterior,7,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,76.0,4202-4500 / s/n,4202-4500 / s/n,1
el borde publicado hoy,R07,Costanera Norte,3,contorno exterior,8,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,204.1,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,1,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,172.1,5992-6100 / 5991-6099,5992-6100 / 5991-6099,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,2,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,128.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,3,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,176.1,5502-5900 / 5501-5899,5502-5900 / 5501-5899,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,4,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,76.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,5,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,240.1,5102-5500 / 5101-5499,5102-5500 / 5101-5499,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,6,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,60.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,7,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,180.1,5502-5900 / 5501-5899,5502-5900 / 5501-5899,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,8,AUTOPISTA ARTURO ILLIA,AUTOPISTA ARTURO ILLIA,52.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R07,Costanera Norte,4,contorno exterior,9,"OBLIGADO RAFAEL, AV.COSTANERA",OBLIGADO RAFAEL AV COSTANERA,40.0,5902-5990 / 5901-5989,5902-5990 / 5901-5989,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,1,FRAGATA PRES. SARMIENTO,FRAGATA PRES SARMIENTO,88.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,2,AÑASCO,ANASCO,48.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,3,FRAGATA PRES. SARMIENTO,FRAGATA PRES SARMIENTO,92.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,4,"RODRIGUEZ, MANUEL A., GENERAL",RODRIGUEZ MANUEL A GENERAL,76.0,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,5,PAYSANDU,PAYSANDU,68.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,6,"RODRIGUEZ, MANUEL A., GENERAL",RODRIGUEZ MANUEL A GENERAL,56.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,7,CASAFOUST,CASAFOUST,36.0,662-700 / 661-699,662-700 / 661-699,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,8,"VILLAFAÑE, BENJAMIN",VILLAFANE BENJAMIN,68.0,2102-2200 / 2101-2199,2102-2200 / 2101-2199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,9,ROJAS,ROJAS,68.0,2102-2200 / 2101-2199,2102-2200 / 2101-2199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,10,SUNCHALES,SUNCHALES,72.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,11,"PUEYRREDON, HONORIO, DR. AV.",PUEYRREDON HONORIO DR AV,32.0,2102-2200 / 2101-2189,2102-2200 / 2101-2189,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,12,WARNES AV.,WARNES AV,40.0,1202-1250 / 1201-1249,1202-1250 / 1201-1249,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,13,"SUSINI, ANTONIO, CNEL.",SUSINI ANTONIO CNEL,180.1,2102-2200 / 2101-2199,2222-2300 / 2233-2299,3
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,14,MARTINEZ ROSAS,MARTINEZ ROSAS,40.0,1402-1450 / 1401-1449,1402-1450 / 1401-1449,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,15,FITZ ROY,FITZ ROY,196.1,202-300 / 201-299,302-400 / 301-399,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,16,DORREGO AV.,DORREGO AV,68.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,17,HUMBOLDT,HUMBOLDT,160.1,302-400 / 301-399,402-500 / 401-499,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,18,CAMARGO,CAMARGO,72.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,19,DARWIN,DARWIN,68.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,20,CORRIENTES AV.,CORRIENTES AV,52.0,5902-6000 / 5901-5999,5902-6000 / 5901-5999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,21,DARWIN,DARWIN,52.0,602-700 / 601-699,602-700 / 601-699,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,22,VILLARROEL,VILLARROEL,44.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,23,DARWIN,DARWIN,264.1,702-800 / 701-799,902-1000 / 901-999,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,24,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,96.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,25,AGUIRRE,AGUIRRE,52.0,1052-1100 / 1051-1099,1052-1100 / 1051-1099,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,26,URIARTE,URIARTE,92.0,802-900 / 801-899,802-900 / 801-899,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,27,LOYOLA,LOYOLA,56.0,902-1000 / 901-999,902-1000 / 901-999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,28,THAMES,THAMES,316.1,902-1000 / 901-999,1102-1200 / 1101-1199,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,29,CORDOBA AV.,CORDOBA AV,80.0,5102-5200 / 5101-5199,5102-5200 / 5101-5199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,30,"VEGA, NICETO, CNEL.",VEGA NICETO CNEL,120.0,5102-5200 / 5101-5199,5102-5200 / 5101-5199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,31,THAMES,THAMES,36.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,32,"VEGA, NICETO, CNEL.",VEGA NICETO CNEL,44.0,5002-5100 / 5001-5099,5002-5100 / 5001-5099,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,33,SERRANO,SERRANO,80.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,34,GURRUCHAGA,GURRUCHAGA,96.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,35,"VEGA, NICETO, CNEL.",VEGA NICETO CNEL,188.1,4802-4900 / 4801-4899,4702-4800 / 4701-4799,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,36,MALABIA,MALABIA,124.0,1302-1400 / 1301-1399,1302-1400 / 1301-1399,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,37,"SCALABRINI ORTIZ, RAUL AV.",SCALABRINI ORTIZ RAUL AV,116.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,38,ARAOZ,ARAOZ,108.0,1202-1300 / 1201-1299,1102-1200 / 1101-1199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,39,CORDOBA AV.,CORDOBA AV,76.0,4402-4500 / 4401-4499,4402-4500 / 4401-4499,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,40,"ALVAREZ, JULIAN",ALVAREZ JULIAN,140.0,1002-1100 / 1001-1099,1002-1100 / 1001-1099,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,41,LERMA,LERMA,88.0,102-200 / 101-199,102-200 / 101-199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,42,LAVALLEJA,LAVALLEJA,68.0,902-1000 / 901-999,902-1000 / 901-999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,43,JUFRE,JUFRE,32.0,102-200 / 101-199,102-200 / 101-199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,44,LAVALLEJA,LAVALLEJA,324.1,802-900 / 801-899,602-700 / 601-699,3
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,45,AGUIRRE,AGUIRRE,32.0,102-200 / 101-199,102-200 / 101-199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,46,LAVALLEJA,LAVALLEJA,72.0,502-600 / 501-599,502-600 / 501-599,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,47,"RAMIREZ DE VELASCO, JUAN",RAMIREZ DE VELASCO JUAN,52.0,102-200 / 101-199,102-200 / 101-199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,48,CORRIENTES AV.,CORRIENTES AV,44.0,4822-4900 / 4821-4899,4822-4900 / 4821-4899,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,49,"FRIAS, EUSTOQUIO, TTE. GENERAL",FRIAS EUSTOQUIO TTE GENERAL,64.0,302-374 / 301-371,302-374 / 301-371,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,50,VERA,VERA,60.0,2-100 / 1-99,2-100 / 1-99,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,51,"GALLARDO, ANGEL AV.",GALLARDO ANGEL AV,96.0,102-200 / 101-199,102-200 / 101-199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,52,"IBARBOUROU, JUANA DE",IBARBOUROU JUANA DE,80.0,1002-1100 / 1001-1099,1002-1100 / 1001-1099,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,53,PATRICIAS ARGENTINAS AV.,PATRICIAS ARGENTINAS AV,48.0,s/n / 447-479,s/n / 401-445,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,54,LILLO AV.,LILLO AV,76.0,s/n / s/n,s/n / s/n,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,55,"MARECHAL, LEOPOLDO",MARECHAL LEOPOLDO,48.0,902-1000 / 901-999,902-1000 / 901-999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,56,ACOYTE,ACOYTE,32.0,902-950 / 901-949,902-950 / 901-949,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,57,FRANKLIN,FRANKLIN,156.1,602-666 / 601-665,668-700 / 667-699,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,58,OLAYA,OLAYA,32.0,1002-1020 / 1001-1019,1002-1020 / 1001-1019,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,59,DIAZ VELEZ AV.,DIAZ VELEZ AV,68.0,5402-5500 / 5401-5499,5402-5500 / 5401-5499,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,60,"VIRASORO, VALENTIN",VIRASORO VALENTIN,52.0,1002-1050 / 1001-1017,1002-1050 / 1001-1017,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,61,FRANKLIN,FRANKLIN,32.0,748-800 / 747-799,748-800 / 747-799,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,62,"PUEYRREDON, HONORIO, DR. AV.",PUEYRREDON HONORIO DR AV,80.0,s/n / 1001-1073,1002-1050 / s/n,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,63,FRANKLIN,FRANKLIN,40.0,802-840 / 801-841,802-840 / 801-841,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,64,ROJAS,ROJAS,44.0,1002-1090 / 1001-1069,1002-1090 / 1001-1069,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,65,GAONA AV.,GAONA AV,108.0,1308-1400 / 1301-1399,1308-1400 / 1301-1399,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,66,"REPETTO, NICOLAS, DR.",REPETTO NICOLAS DR,132.0,1102-1300 / 1101-1299,1102-1300 / 1101-1299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,67,"FIGUEROA, D. APOLINARIO, CORONEL",FIGUEROA D APOLINARIO CORONEL,76.0,802-900 / 801-899,802-900 / 801-899,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,68,CUCHA CUCHA,CUCHA CUCHA,80.0,1202-1300 / 1201-1299,1202-1300 / 1201-1299,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,69,"VIALE, LUIS",VIALE LUIS,80.0,902-1000 / 901-999,902-1000 / 901-999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,70,PUJOL,PUJOL,68.0,1302-1400 / 1301-1399,1302-1400 / 1301-1399,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,71,GALICIA,GALICIA,88.0,1002-1100 / 1001-1099,1002-1100 / 1001-1099,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,72,ESPINOSA,ESPINOSA,120.0,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,73,TRES ARROYOS,TRES ARROYOS,88.0,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,74,PAYSANDU,PAYSANDU,96.0,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,75,"BELAUSTEGUI, LUIS, DR.",BELAUSTEGUI LUIS DR,324.1,1202-1300 / 1201-1299,902-1000 / 901-999,4
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,76,CUCHA CUCHA,CUCHA CUCHA,72.0,1602-1700 / 1601-1699,1602-1700 / 1601-1699,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,77,"ESCALADA DE SAN MARTIN, R.",ESCALADA DE SAN MARTIN R,40.0,802-900 / 801-899,802-900 / 801-899,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,78,"REPETTO, NICOLAS, DR.",REPETTO NICOLAS DR,180.1,1702-1800 / 1701-1799,1602-1700 / 1601-1699,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,79,TRES ARROYOS,TRES ARROYOS,88.0,702-800 / 701-799,702-800 / 701-799,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,80,"RODRIGUEZ, MANUEL A., GENERAL",RODRIGUEZ MANUEL A GENERAL,92.0,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,81,ROJAS,ROJAS,120.0,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,82,"PUEYRREDON, HONORIO, DR. AV.",PUEYRREDON HONORIO DR AV,120.0,1502-1600 / s/n,s/n / 1501-1599,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,83,"VIRASORO, VALENTIN",VIRASORO VALENTIN,76.0,1602-1700 / 1601-1699,1602-1700 / 1601-1699,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,84,TRES ARROYOS,TRES ARROYOS,84.0,302-400 / 301-399,302-400 / 301-399,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,85,OLAYA,OLAYA,196.1,1702-1800 / 1701-1799,1802-1900 / 1801-1899,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,86,"ESCALADA DE SAN MARTIN, R.",ESCALADA DE SAN MARTIN R,48.0,302-400 / 301-399,302-400 / 301-399,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,87,WARNES AV.,WARNES AV,56.0,902-1000 / 917-999,902-1000 / 917-999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,88,"VIRASORO, VALENTIN",VIRASORO VALENTIN,72.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,89,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,136.0,3222-3300 / 3221-3299,3302-3350 / 3301-3367,2
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,90,ROJAS,ROJAS,48.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,91,BATALLA DEL PARI,BATALLA DEL PARI,72.0,602-700 / 601-699,602-700 / 601-699,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,92,"RODRIGUEZ, MANUEL A., GENERAL",RODRIGUEZ MANUEL A GENERAL,56.0,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,93,BATALLA DEL PARI,BATALLA DEL PARI,108.0,702-800 / 701-799,702-800 / 701-799,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,94,SUNCHALES,SUNCHALES,72.0,702-800 / 701-799,702-800 / 701-799,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,95,"REPETTO, NICOLAS, DR.",REPETTO NICOLAS DR,72.0,2102-2194 / 2101-2199,2102-2194 / 2101-2199,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,96,PAYSANDU,PAYSANDU,52.0,2102-2180 / 2101-2179,2102-2180 / 2101-2179,1
el borde publicado hoy,R08,Villa Crespo,1,contorno exterior,97,MATURIN,MATURIN,40.0,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,1,FITZ ROY,FITZ ROY,216.4,1120-1200 / 1121-1199,1202-1300 / 1201-1299,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,2,CORDOBA AV.,CORDOBA AV,64.1,5502-5600 / 5501-5599,5502-5600 / 5501-5599,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,3,HUMBOLDT,HUMBOLDT,128.2,1302-1400 / 1301-1399,1402-1500 / 1401-1499,2
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,4,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,84.1,1702-1800 / 1701-1799,1702-1800 / 1701-1799,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,5,DARWIN,DARWIN,108.2,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,6,GODOY CRUZ,GODOY CRUZ,92.2,1502-1600 / 1501-1599,1502-1600 / 1501-1599,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,7,"VEGA, NICETO, CNEL.",VEGA NICETO CNEL,32.1,5202-5300 / 5201-5299,5202-5300 / 5201-5299,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,8,GODOY CRUZ,GODOY CRUZ,92.2,1402-1500 / 1401-1499,1402-1500 / 1401-1499,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,9,CORDOBA AV.,CORDOBA AV,100.2,5302-5400 / 5301-5399,5302-5400 / 5301-5399,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,10,"JUSTO, JUAN B. AV.",JUSTO JUAN B AV,60.1,1924-1970 / 1907-1969,1924-1970 / 1907-1969,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,11,CASTILLO,CASTILLO,84.1,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R08,Villa Crespo,2,contorno exterior,12,HUMBOLDT,HUMBOLDT,96.2,1102-1200 / 1101-1199,1102-1200 / 1101-1199,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,1,FRAGATA PRES. SARMIENTO,FRAGATA PRES SARMIENTO,140.2,1802-1900 / 1801-1899,1802-1900 / 1801-1899,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,2,"MAGARIÑOS CERVANTES, A.",MAGARINOS CERVANTES A,64.1,1302-1400 / 1301-1399,1302-1400 / 1301-1399,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,3,SAN MARTIN AV.,SAN MARTIN AV,60.1,2302-2400 / 2301-2399,2302-2400 / 2301-2399,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,4,FRAGATA PRES. SARMIENTO,FRAGATA PRES SARMIENTO,288.5,1902-2000 / 1901-1999,2102-2200 / 2101-2199,3
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,5,MATURIN,MATURIN,56.1,2202-2300 / 2201-2299,2202-2300 / 2201-2299,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,6,CUCHA CUCHA,CUCHA CUCHA,68.1,2102-2200 / 2101-2199,2102-2200 / 2101-2199,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,7,PAYSANDU,PAYSANDU,44.1,1902-2000 / 1901-1999,1902-2000 / 1901-1999,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,8,BATALLA DEL PARI,BATALLA DEL PARI,140.2,902-1100 / 901-1099,1102-1150 / 1101-1149,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,9,PAYSANDU,PAYSANDU,140.2,s/n / 1851-1899,1802-1840 / 1801-1849,1
el borde publicado hoy,R08,Villa Crespo,3,contorno exterior,10,SAN MARTIN AV.,SAN MARTIN AV,48.1,2222-2300 / 2207-2299,2222-2300 / 2207-2299,1
