local_id,polo_id,polo_final,polo_unido,barrio,comuna
LOC004921,P057,P057,P057,Caballito,6.0
LOC004922,P085,P085,P085,Monserrat,1.0
LOC004923,,,,Flores,7.0
LOC004924,P021,P021,P021,Liniers,9.0
LOC004925,P027,P027,P027,Parque Patricios,4.0
LOC004926,P005,P005,P005,Villa Lugano,8.0
LOC004927,P047,P047,P047,Caballito,6.0
LOC004928,P041,P041,P041,Flores,7.0
LOC004929,,,,Saavedra,12.0
LOC004931,P065,P065,P065,Palermo,14.0
LOC004932,,,,Liniers,9.0
LOC004933,P074,P074,P074,Villa Crespo,15.0
LOC004934,,,,Villa Urquiza,12.0
LOC004935,,,,Balvanera,3.0
LOC004936,,,,Belgrano,13.0
LOC004937,P082,P082,P082,Almagro,5.0
LOC004938,,,,San Nicolas,1.0
LOC004939,,,,Monserrat,1.0
LOC004941,P084,P084,P084,Balvanera,3.0
LOC004942,,,,Flores,7.0
LOC004943,P090,P090,P090+P089,Palermo,14.0
LOC004944,,,,Almagro,5.0
LOC004945,P042,P042,P042,Velez Sarsfield,10.0
LOC004946,,,,Villa Urquiza,12.0
LOC004947,P017,P017,P017,Liniers,9.0
LOC004948,P019,P019,P019,Parque Patricios,4.0
LOC004949,P111,P111,P111,Monserrat,1.0
LOC004950,P100,P100,P100,Monserrat,1.0
LOC004951,P046,P046,P046,Villa Urquiza,12.0
LOC004952,,,,Belgrano,13.0
LOC004953,P053,P053,P053,Boedo,5.0
LOC004954,P062,P062,P062,Almagro,5.0
LOC004955,P106,P106,P106,Balvanera,3.0
LOC004956,P027,P027,P027,Parque Patricios,4.0
LOC004957,,,,Nueva Pompeya,4.0
LOC004958,P076,P076,P076,Recoleta,2.0
LOC004959,P113,P113,P113,San Nicolas,1.0
LOC004960,,,,Villa Urquiza,12.0
LOC004961,,,,La Boca,4.0
LOC004962,P072,,,Colegiales,13.0
LOC004963,P013,P013,P013,Mataderos,9.0
LOC004965,P077,P077,P077,Villa Crespo,15.0
LOC004966,,,,Velez Sarsfield,10.0
LOC004967,P056,P056,P056,Caballito,6.0
LOC004968,,,,Caballito,6.0
LOC004969,P073,P073,P073,Palermo,14.0
LOC004970,,,,Balvanera,3.0
LOC004971,,,,Barracas,4.0
LOC004972,P072,,,Belgrano,13.0
LOC004974,P007,P007,P007,Belgrano,13.0
LOC004975,,,,Palermo,14.0
LOC004976,,,,Villa Santa Rita,11.0
LOC004977,P025,P025-1,P025-1,Monte Castro,10.0
LOC004978,P113,P113,P113,Balvanera,3.0
LOC004980,,,,Villa Del Parque,11.0
LOC004981,P091,P091,P091,Palermo,14.0
LOC004982,P072,P072-5,P072-5,Belgrano,13.0
LOC004983,,,,La Boca,4.0
LOC004984,,,,Almagro,5.0
LOC004985,,,,Almagro,5.0
LOC004986,,,,Nuñez,13.0
LOC004987,P072,,,Nuñez,13.0
LOC004988,P021,P021,P021,Liniers,9.0
LOC004989,P086,P086,P086,Villa Crespo,15.0
LOC004990,P057,P057,P057,Caballito,6.0
LOC004991,,,,Retiro,1.0
LOC004992,P072,P072-4,P072-4,Belgrano,13.0
LOC004993,,,,San Telmo,1.0
LOC004994,P072,,,Colegiales,13.0
LOC004996,,,,Palermo,14.0
LOC004997,P082,P082,P082,Almagro,5.0
LOC004998,P066,P066,P066,Barracas,4.0
LOC004999,P072,P072-2,P072-2,Colegiales,13.0
LOC005000,P046,P046,P046,Villa Urquiza,12.0
LOC005001,,,,Mataderos,9.0
LOC005002,,,,Palermo,14.0
LOC005003,,,,Belgrano,13.0
LOC005004,P076,P076,P076,Recoleta,2.0
LOC005005,P053,P053,P053,Parque Chacabuco,7.0
LOC005006,,,,Balvanera,3.0
LOC005007,P042,P042,P042,Velez Sarsfield,10.0
LOC005008,,,,Retiro,1.0
LOC005009,P018,,,Villa Devoto,11.0
LOC005010,P072,,,Saavedra,12.0
LOC005011,P072,P072-4,P072-4,Belgrano,13.0
LOC005012,P078,P078,P078,Palermo,14.0
LOC005013,,,,Palermo,14.0
LOC005014,P078,P078,P078,Palermo,14.0
LOC005015,,,,Flores,7.0
LOC005017,,,,Flores,7.0
LOC005018,,,,Saavedra,12.0
LOC005019,P072,P072-7,P072-7,Belgrano,13.0
LOC005020,P027,P027,P027,Parque Patricios,4.0
LOC005021,P072,P072-1,P072-1,Nuñez,13.0
LOC005022,,,,Recoleta,2.0
LOC005025,,,,Balvanera,3.0
LOC005026,,,,Villa Devoto,11.0
LOC005027,P100,P100,P100,Monserrat,1.0
LOC005028,,,,Monserrat,1.0
LOC005029,P021,P021,P021,Liniers,9.0
LOC005030,,,,Belgrano,13.0
LOC005031,P025,,,Villa Devoto,11.0
LOC005032,P104,P104,P104,Recoleta,2.0
LOC005033,P091,P091,P091,Palermo,14.0
LOC005034,,,,Villa Urquiza,12.0
LOC005035,P072,P072-4,P072-4,Belgrano,13.0
LOC005036,P082,P082,P082,Almagro,5.0
LOC005037,,,,Palermo,14.0
LOC005038,,,,San Cristobal,3.0
LOC005040,P105,P105,P105,Recoleta,2.0
LOC005041,,,,San Telmo,1.0
LOC005042,P004,P004,P004,Parque Avellaneda,9.0
LOC005043,,,,Balvanera,3.0
LOC005045,P091,P091,P091,Palermo,14.0
LOC005046,,,,Villa Del Parque,11.0
LOC005047,P084,P084,P084,Almagro,5.0
LOC005049,,,,Almagro,5.0
LOC005051,P076,P076,P076,Recoleta,2.0
LOC005052,P113,P113,P113,San Nicolas,1.0
LOC005053,,,,Balvanera,3.0
LOC005054,P118,P118,P118,Retiro,1.0
LOC005055,P072,,,Nuñez,13.0
LOC005056,P006,P006,P006,Mataderos,9.0
LOC005057,,,,Villa Urquiza,12.0
LOC005058,P115,P115,P115,Retiro,1.0
LOC005059,P103,P103,P103,San Telmo,1.0
LOC005060,P038,P038,P038,Villa Devoto,11.0
LOC005061,P003,P003,P003,Villa Riachuelo,8.0
LOC005062,P026,P026,P026,Parque Patricios,4.0
LOC005064,P071,P071,P071,Colegiales,13.0
LOC005065,P065,P065,P065,Palermo,14.0
LOC005067,P091,P091,P091,Palermo,14.0
LOC005069,,,,Villa Ortuzar,15.0
LOC005070,,,,Balvanera,3.0
LOC005071,P003,P003,P003,Villa Lugano,8.0
LOC005072,,,,Parque Chacabuco,7.0
LOC005073,P079,P079,P079,Villa Crespo,15.0
LOC005074,,,,Villa Del Parque,11.0
LOC005075,,,,Liniers,9.0
LOC005076,P082,P082,P082,Almagro,5.0
LOC005077,P091,P091,P091,Palermo,14.0
LOC005079,,,,Constitucion,1.0
LOC005080,,,,Caballito,6.0
LOC005081,,,,Caballito,6.0
LOC005082,P078,P078,P078,Palermo,14.0
LOC005083,,,,Flores,7.0
LOC005084,,,,Agronomia,15.0
LOC005085,P078,P078,P078,Palermo,14.0
LOC005086,P048,P048,P048,Colegiales,13.0
LOC005087,P037,P037,P037,Villa Del Parque,11.0
LOC005088,,,,Parque Patricios,4.0
LOC005089,P048,P048,P048,Colegiales,13.0
LOC005090,,,,Belgrano,13.0
LOC005091,P027,P027,P027,Nueva Pompeya,4.0
LOC005092,,,,Versalles,10.0
LOC005093,P091,P091,P091,Palermo,14.0
LOC005095,P017,P017,P017,Liniers,9.0
LOC005096,P020,P020,P020,Villa Luro,10.0
LOC005097,,,,Retiro,1.0
LOC005098,P116,P116,P116,San Nicolas,1.0
LOC005100,,,,Recoleta,2.0
LOC005101,,,,Nuñez,13.0
LOC005102,,,,Villa Crespo,15.0
LOC005104,,,,Flores,7.0
LOC005105,,,,Flores,7.0
LOC005106,P013,P013,P013,Mataderos,9.0
LOC005107,,,,Recoleta,2.0
LOC005108,P100,P100,P100,Monserrat,1.0
LOC005110,P072,,,Belgrano,13.0
LOC005111,P078,P078,P078,Colegiales,13.0
LOC005112,P072,,,Belgrano,13.0
LOC005113,P055,P055,P055,Balvanera,3.0
LOC005114,P072,,,Colegiales,13.0
LOC005115,P091,P091,P091,Palermo,14.0
LOC005116,P063,P063,P063,Villa Crespo,15.0
LOC005117,,,,Liniers,9.0
LOC005118,,,,San Nicolas,1.0
LOC005119,,,,Flores,7.0
LOC005120,,,,Monserrat,1.0
LOC005121,,,,Palermo,14.0
LOC005122,,,,Palermo,14.0
LOC005123,,,,Balvanera,3.0
LOC005124,,,,Flores,7.0
LOC005125,,,,Flores,7.0
LOC005126,P036,P036,P036,Villa Santa Rita,11.0
LOC005127,,,,Belgrano,13.0
LOC005128,P046,P046,P046,Villa Urquiza,12.0
LOC005129,P115,P115,P115,Retiro,1.0
LOC005130,P048,P048,P048,Colegiales,13.0
LOC005131,,,,Palermo,14.0
LOC005133,P091,P091,P091,Palermo,14.0
LOC005134,,,,Caballito,6.0
LOC005135,,,,Villa Urquiza,12.0
LOC005136,,,,Monserrat,1.0
LOC005137,,,,Belgrano,13.0
LOC005138,,,,La Boca,4.0
LOC005140,,,,Coghlan,12.0
LOC005141,P041,P041,P041,Floresta,10.0
LOC005142,,,,Recoleta,2.0
LOC005143,P072,P072-1,P072-1,Nuñez,13.0
LOC005144,P021,P021,P021,Liniers,9.0
LOC005146,,,,Villa Del Parque,11.0
LOC005147,P108,P108,P108,Monserrat,1.0
LOC005148,P078,P078,P078,Palermo,14.0
LOC005149,P111,P111,P111,Monserrat,1.0
LOC005150,P081,P081,P081,Villa Crespo,15.0
LOC005151,,,,Villa Urquiza,12.0
LOC005152,,,,Villa Crespo,15.0
LOC005153,P101,P101,P101+P099,Balvanera,3.0
LOC005154,P101,P101,P101+P099,Balvanera,3.0
LOC005155,P107,P107,P107,Balvanera,3.0
LOC005156,,,,Versalles,10.0
LOC005157,,,,Balvanera,3.0
LOC005158,,,,Recoleta,2.0
LOC005160,P072,,,Colegiales,13.0
LOC005161,,,,Villa Real,10.0
LOC005162,P018,P018-2,P018-2,Villa Devoto,11.0
LOC005163,,,,Parque Chacabuco,7.0
LOC005164,,,,Balvanera,3.0
LOC005165,P078,P078,P078,Palermo,14.0
LOC005166,P021,P021,P021,Liniers,9.0
LOC005167,,,,Constitucion,1.0
LOC005168,,,,Nuñez,13.0
LOC005169,P056,P056,P056,Caballito,6.0
LOC005170,,,,Caballito,6.0
LOC005171,,,,Barracas,4.0
LOC005172,,,,San Nicolas,1.0
LOC005173,,,,Flores,7.0
LOC005174,,,,Balvanera,3.0
LOC005175,P025,P025-2,P025-2,Monte Castro,10.0
LOC005176,,,,San Nicolas,1.0
LOC005177,,,,Caballito,6.0
LOC005178,,,,Chacarita,15.0
LOC005179,,,,Balvanera,3.0
LOC005180,P045,P045,P045,Villa Ortuzar,15.0
LOC005181,,,,Coghlan,12.0
LOC005182,,,,Parque Patricios,4.0
LOC005183,P019,P019,P019,Parque Patricios,4.0
LOC005184,,,,Velez Sarsfield,10.0
LOC005185,,,,Villa Crespo,15.0
LOC005186,P072,P072-7,P072-7,Belgrano,13.0
LOC005187,,,,Villa Urquiza,12.0
LOC005188,,,,Saavedra,12.0
LOC005189,,,,Nuñez,13.0
LOC005190,P072,P072-3,P072-3,Belgrano,13.0
LOC005191,P065,P065,P065,Palermo,14.0
LOC005192,P080,P080,P080,Villa Crespo,15.0
LOC005193,P019,P019,P019,Parque Patricios,4.0
LOC005194,,,,Palermo,14.0
LOC005195,,,,Recoleta,2.0
LOC005196,P072,,,Belgrano,13.0
LOC005197,,,,Flores,7.0
LOC005198,,,,Constitucion,1.0
LOC005199,,,,Belgrano,13.0
LOC005200,P105,P105,P105,Recoleta,2.0
LOC005201,,,,Chacarita,15.0
LOC005202,P117,P117,P117,San Nicolas,1.0
LOC005203,,,,Palermo,14.0
LOC005204,,,,Villa Luro,10.0
LOC005205,P045,P045,P045,Villa Urquiza,12.0
LOC005206,,,,Agronomia,15.0
LOC005207,P055,P055,P055,Balvanera,3.0
LOC005208,P038,P038,P038,Agronomia,15.0
LOC005209,P051,P051,P051,Constitucion,1.0
LOC005210,P072,,,Belgrano,13.0
LOC005211,,,,Balvanera,3.0
LOC005212,P044,P044,P044,San Cristobal,3.0
LOC005213,P072,P072-4,P072-4,Belgrano,13.0
LOC005214,P027,P027,P027,Parque Patricios,4.0
LOC005215,,,,Recoleta,2.0
LOC005216,P046,P046,P046,Villa Urquiza,12.0
LOC005218,,,,Saavedra,12.0
LOC005219,,,,Monte Castro,10.0
LOC005220,,,,Villa Ortuzar,15.0
LOC005221,P004,P004,P004,Parque Avellaneda,9.0
LOC005222,P106,P106,P106,Balvanera,3.0
LOC005224,,,,Liniers,9.0
LOC005225,P108,P108,P108,Monserrat,1.0
LOC005226,P021,P021,P021,Liniers,9.0
LOC005227,,,,Flores,7.0
LOC005228,P092,P092,P092,Palermo,14.0
LOC005229,,,,Coghlan,12.0
LOC005230,P027,P027,P027,Parque Patricios,4.0
LOC005231,P083,P083,P083,Almagro,5.0
LOC005232,P118,P118,P118,San Nicolas,1.0
LOC005233,,,,Velez Sarsfield,10.0
LOC005235,,,,Floresta,10.0
LOC005236,P072,P072-6,P072-6,Belgrano,13.0
LOC005237,,,,Flores,7.0
LOC005238,P041,P041,P041,Floresta,10.0
LOC005239,,,,Caballito,6.0
LOC005240,,,,Recoleta,2.0
LOC005241,P072,,,Colegiales,13.0
LOC005242,,,,Caballito,6.0
LOC005243,P055,P055,P055,Balvanera,3.0
LOC005244,P052,P052,P052,Floresta,10.0
LOC005245,,,,Monte Castro,10.0
LOC005246,P106,P106,P106,Recoleta,2.0
LOC005247,,,,Recoleta,2.0
LOC005248,,,,Parque Chacabuco,7.0
LOC005249,,,,Palermo,14.0
LOC005251,,,,Villa Urquiza,12.0
LOC005254,P057,P057,P057,Caballito,6.0
LOC005255,P037,P037,P037,Villa Del Parque,11.0
LOC005256,P030,P030,P030,Puerto Madero,1.0
LOC005257,P025,,,Monte Castro,10.0
LOC005258,P051,P051,P051,Constitucion,1.0
LOC005259,P072,,,Nuñez,13.0
LOC005260,P039,P039,P039,Villa Urquiza,12.0
LOC005261,P070,P070,P070,Nuñez,13.0
LOC005264,,,,Flores,7.0
LOC005265,P082,P082,P082,Almagro,5.0
LOC005266,P108,P108,P108,Monserrat,1.0
LOC005267,P045,P045,P045,Villa Urquiza,12.0
LOC005268,P068,P068,P068,Chacarita,15.0
LOC005269,,,,Flores,7.0
LOC005270,P072,P072-4,P072-4,Belgrano,13.0
LOC005271,P021,P021,P021,Liniers,9.0
LOC005273,,,,Villa Del Parque,11.0
LOC005275,,,,Constitucion,1.0
LOC005276,P072,,,Belgrano,13.0
LOC005277,P068,P068,P068,Chacarita,15.0
LOC005278,P100,P100,P100,Monserrat,1.0
LOC005279,P114,P114,P114,San Nicolas,1.0
LOC005280,P072,,,Belgrano,13.0
LOC005281,P095,P095,P095,Recoleta,2.0
LOC005282,P091,P091,P091,Palermo,14.0
LOC005283,,,,Liniers,9.0
LOC005284,P118,P118,P118,San Nicolas,1.0
LOC005285,P052,P052,P052,Floresta,10.0
LOC005286,P106,P106,P106,Balvanera,3.0
LOC005287,,,,Villa Riachuelo,8.0
LOC005288,P091,P091,P091,Palermo,14.0
LOC005289,P018,,,Monte Castro,10.0
LOC005290,,,,Villa Pueyrredon,12.0
LOC005291,,,,Almagro,5.0
LOC005292,,,,Villa Riachuelo,8.0
LOC005293,P066,P066,P066,Barracas,4.0
LOC005294,P112,P112,P112,San Nicolas,1.0
LOC005296,P091,P091,P091,Palermo,14.0
LOC005297,P084,P084,P084,Balvanera,3.0
LOC005298,P045,P045,P045,Villa Ortuzar,15.0
LOC005299,,,,Retiro,1.0
LOC005300,,,,Balvanera,3.0
LOC005301,P077,P077,P077,Villa Crespo,15.0
LOC005302,P072,,,Nuñez,13.0
LOC005303,P079,P079,P079,Almagro,5.0
LOC005304,,,,Palermo,14.0
LOC005305,P004,P004,P004,Mataderos,9.0
LOC005307,P053,P053,P053,Boedo,5.0
LOC005308,P101,P101,P101+P099,Balvanera,3.0
LOC005309,P028,P028,P028,Villa Pueyrredon,12.0
LOC005310,P017,P017,P017,Liniers,9.0
LOC005311,P076,P076,P076,Palermo,14.0
LOC005312,P060,P060,P060,Flores,7.0
LOC005313,P033,P033,P033,La Boca,4.0
LOC005314,P082,P082,P082,Almagro,5.0
LOC005315,,,,Nueva Pompeya,4.0
LOC005316,P101,P101,P101+P099,Balvanera,3.0
LOC005317,P099,P099,P101+P099,Balvanera,3.0
LOC005318,,,,Paternal,15.0
LOC005319,P068,P068,P068,Chacarita,15.0
LOC005320,,,,Recoleta,2.0
LOC005321,P005,P005,P005,Villa Lugano,8.0
LOC005323,,,,San Nicolas,1.0
LOC005324,P091,P091,P091,Palermo,14.0
LOC005325,P075,P075,P075,Chacarita,15.0
LOC005326,P078,P078,P078,Palermo,14.0
LOC005327,P117,P117,P117,San Nicolas,1.0
LOC005328,P038,P038,P038,Villa Pueyrredon,12.0
LOC005329,,,,Belgrano,13.0
LOC005330,P072,P072-2,P072-2,Colegiales,13.0
LOC005331,P078,P078,P078,Palermo,14.0
LOC005332,,,,Parque Chas,15.0
LOC005333,,,,La Boca,4.0
LOC005334,P068,P068,P068,Chacarita,15.0
LOC005335,P071,P071,P071,Colegiales,13.0
LOC005336,P072,,,Belgrano,13.0
LOC005337,P005,P005,P005,Villa Lugano,8.0
LOC005338,P062,P062,P062,Almagro,5.0
LOC005339,P065,P065,P065,Palermo,14.0
LOC005340,,,,Villa Del Parque,11.0
LOC005341,P072,,,Belgrano,13.0
LOC005342,,,,Almagro,5.0
LOC005343,P108,P108,P108,Monserrat,1.0
LOC005344,,,,Saavedra,12.0
LOC005345,,,,Balvanera,3.0
LOC005346,P092,P092,P092,Palermo,14.0
LOC005347,P020,P020,P020,Villa Luro,10.0
LOC005349,P042,P042,P042,Velez Sarsfield,10.0
LOC005350,P116,P116,P116,San Nicolas,1.0
LOC005351,,,,San Nicolas,1.0
LOC005352,P072,,,Palermo,14.0
LOC005353,,,,Belgrano,13.0
LOC005354,P004,P004,P004,Parque Avellaneda,9.0
LOC005355,P050,P050,P050,Caballito,6.0
LOC005356,P070,P070,P070,Saavedra,12.0
LOC005357,,,,Almagro,5.0
LOC005358,,,,Saavedra,12.0
LOC005359,P072,P072-4,P072-4,Belgrano,13.0
LOC005361,P057,P057,P057,Caballito,6.0
LOC005362,,,,Belgrano,13.0
LOC005363,P054,P054,P054,Flores,7.0
LOC005364,P104,P104,P104,Recoleta,2.0
LOC005366,P111,P111,P111,Monserrat,1.0
LOC005367,,,,Puerto Madero,1.0
LOC005368,,,,Villa Del Parque,11.0
LOC005369,P076,P076,P076,Palermo,14.0
LOC005370,P107,P107,P107,Recoleta,2.0
LOC005373,P078,P078,P078,Palermo,14.0
LOC005374,,,,Velez Sarsfield,10.0
LOC005375,,,,Nuñez,13.0
LOC005376,P034,P034,P034,Villa Del Parque,11.0
LOC005377,P113,P113,P113,San Nicolas,1.0
LOC005378,,,,Parque Chacabuco,7.0
LOC005379,,,,Boedo,5.0
LOC005380,P045,P045,P045,Parque Chas,15.0
LOC005382,,,,Balvanera,3.0
LOC005383,,,,Villa Ortuzar,15.0
LOC005384,P045,P045,P045,Villa Ortuzar,15.0
LOC005385,,,,San Nicolas,1.0
LOC005387,P054,P054,P054,Flores,7.0
LOC005388,P052,P052,P052,Flores,7.0
LOC005389,P078,P078,P078,Chacarita,15.0
LOC005390,,,,Parque Chacabuco,7.0
LOC005392,,,,Balvanera,3.0
LOC005393,P040,P040,P040,Villa Santa Rita,11.0
LOC005394,P082,P082,P082,Almagro,5.0
LOC005396,P103,P103,P103,San Telmo,1.0
LOC005397,,,,Coghlan,12.0
LOC005398,P063,P063,P063,Caballito,6.0
LOC005400,,,,Saavedra,12.0
LOC005401,P103,P103,P103,San Telmo,1.0
LOC005402,,,,Balvanera,3.0
LOC005403,,,,Balvanera,3.0
LOC005404,,,,Palermo,14.0
LOC005405,,,,Colegiales,13.0
LOC005406,,,,Villa Devoto,11.0
LOC005407,,,,Constitucion,1.0
LOC005408,,,,San Nicolas,1.0
LOC005409,P091,P091,P091,Palermo,14.0
LOC005410,P060,P060,P060,Flores,7.0
LOC005411,,,,Almagro,5.0
LOC005412,P072,P072-4,P072-4,Belgrano,13.0
LOC005413,,,,La Boca,4.0
LOC005414,P025,P025-2,P025-2,Monte Castro,10.0
LOC005415,,,,Mataderos,9.0
LOC005416,,,,Villa Urquiza,12.0
LOC005417,P013,P013,P013,Mataderos,9.0
LOC005418,P049,P049,P049,Caballito,6.0
LOC005419,P032,P032,P032,La Boca,4.0
LOC005420,P072,P072-2,P072-2,Colegiales,13.0
LOC005422,,,,Barracas,4.0
LOC005423,P053,P053,P053,Caballito,6.0
LOC005424,P078,P078,P078,Palermo,14.0
LOC005425,P002,P002,P002,Villa Soldati,8.0
LOC005426,,,,Villa Urquiza,12.0
LOC005427,,,,San Cristobal,3.0
LOC005428,P068,P068,P068,Chacarita,15.0
LOC005429,,,,Belgrano,13.0
LOC005430,P018,P018-1,P018-1,Villa Devoto,11.0
LOC005431,,,,Flores,7.0
LOC005432,,,,Recoleta,2.0
LOC005433,P072,P072-4,P072-4,Belgrano,13.0
LOC005434,,,,Balvanera,3.0
LOC005435,,,,Almagro,5.0
LOC005437,P104,P104,P104,Recoleta,2.0
LOC005438,,,,Villa Devoto,11.0
LOC005439,P045,P045,P045,Parque Chas,15.0
LOC005440,P065,P065,P065,Palermo,14.0
LOC005441,,,,Parque Chas,15.0
LOC005442,P072,P072-7,P072-7,Belgrano,13.0
LOC005443,,,,Villa Luro,10.0
LOC005444,,,,Villa Crespo,15.0
LOC005445,P108,P108,P108,Monserrat,1.0
LOC005446,,,,San Nicolas,1.0
LOC005447,,,,Retiro,1.0
LOC005448,,,,Villa Gral. Mitre,11.0
LOC005449,,,,Almagro,5.0
LOC005450,,,,Villa Urquiza,12.0
LOC005451,,,,Balvanera,3.0
LOC005452,P040,P040,P040,Villa Santa Rita,11.0
LOC005453,P065,P065,P065,Palermo,14.0
LOC005455,P026,P026,P026,Parque Patricios,4.0
LOC005456,,,,Caballito,6.0
LOC005457,P024,P024,P024,Nueva Pompeya,4.0
LOC005458,,,,Barracas,4.0
LOC005459,,,,Caballito,6.0
LOC005460,P104,P104,P104,Recoleta,2.0
LOC005461,P062,P062,P062,Balvanera,3.0
LOC005462,,,,Recoleta,2.0
LOC005463,P065,P065,P065,Palermo,14.0
LOC005464,P003,P003,P003,Villa Riachuelo,8.0
LOC005465,P103,P103,P103,Monserrat,1.0
LOC005466,P028,P028,P028,Villa Pueyrredon,12.0
LOC005467,,,,Almagro,5.0
LOC005468,P084,P084,P084,Almagro,5.0
LOC005469,,,,Palermo,14.0
LOC005470,P076,P076,P076,Recoleta,2.0
LOC005472,P067,P067,P067,Nuñez,13.0
LOC005473,P072,P072-4,P072-4,Belgrano,13.0
LOC005474,P017,P017,P017,Mataderos,9.0
LOC005475,P112,P112,P112,Recoleta,2.0
LOC005476,,,,Nuñez,13.0
LOC005477,,,,Barracas,4.0
LOC005478,,,,Balvanera,3.0
LOC005480,P002,P002,P002,Villa Soldati,8.0
LOC005481,P072,P072-4,P072-4,Belgrano,13.0
LOC005483,,,,Nuñez,13.0
LOC005484,P053,P053,P053,Caballito,6.0
LOC005485,,,,Retiro,1.0
LOC005486,,,,Constitucion,1.0
LOC005487,P077,P077,P077,Villa Crespo,15.0
LOC005488,P042,P042,P042,Velez Sarsfield,10.0
LOC005489,,,,Colegiales,13.0
LOC005490,P050,P050,P050,Caballito,6.0
LOC005491,P077,P077,P077,Villa Crespo,15.0
LOC005492,P072,P072-4,P072-4,Belgrano,13.0
LOC005493,P055,P055,P055,Balvanera,3.0
LOC005494,,,,Flores,7.0
LOC005495,P072,,,Belgrano,13.0
LOC005496,,,,Balvanera,3.0
LOC005497,,,,Almagro,5.0
LOC005498,P078,P078,P078,Palermo,14.0
LOC005499,,,,Recoleta,2.0
LOC005501,,,,Coghlan,12.0
LOC005503,P035,P035,P035,Villa Devoto,11.0
LOC005504,,,,Villa Del Parque,11.0
LOC005505,,,,Flores,7.0
LOC005507,P045,P045,P045,Parque Chas,15.0
LOC005508,P018,,,Villa Devoto,11.0
LOC005509,P024,P024,P024,Nueva Pompeya,4.0
LOC005510,,,,Boedo,5.0
LOC005511,P111,P111,P111,Monserrat,1.0
LOC005512,P084,P084,P084,Almagro,5.0
LOC005513,P063,P063,P063,Caballito,6.0
LOC005514,,,,San Nicolas,1.0
LOC005515,,,,Parque Avellaneda,9.0
LOC005516,P103,P103,P103,San Telmo,1.0
LOC005517,P078,P078,P078,Palermo,14.0
LOC005518,P110,P110,P110,Recoleta,2.0
LOC005520,P045,P045,P045,Villa Urquiza,12.0
LOC005521,,,,Villa Crespo,15.0
LOC005522,P051,P051,P051,Constitucion,1.0
LOC005523,,,,Almagro,5.0
LOC005524,,,,Recoleta,2.0
LOC005525,,,,San Cristobal,3.0
LOC005526,,,,Monserrat,1.0
LOC005527,P091,P091,P091,Palermo,14.0
LOC005528,,,,Palermo,14.0
LOC005529,,,,Saavedra,12.0
LOC005530,,,,Palermo,14.0
LOC005531,,,,Balvanera,3.0
LOC005532,,,,Constitucion,1.0
LOC005533,P078,P078,P078,Palermo,14.0
LOC005534,P015,P015,P015,Parque Chacabuco,7.0
LOC005535,P072,P072-2,P072-2,Colegiales,13.0
LOC005536,P082,P082,P082,Almagro,5.0
LOC005538,,,,Velez Sarsfield,10.0
LOC005539,P046,P046,P046,Villa Urquiza,12.0
LOC005540,,,,Saavedra,12.0
LOC005541,,,,Chacarita,15.0
LOC005542,,,,Palermo,14.0
LOC005543,P104,P104,P104,Recoleta,2.0
LOC005544,P018,P018-1,P018-1,Villa Devoto,11.0
LOC005545,,,,Puerto Madero,1.0
LOC005546,P091,P091,P091,Palermo,14.0
LOC005547,,,,Nuñez,13.0
LOC005548,,,,Recoleta,2.0
LOC005549,,,,Nueva Pompeya,4.0
LOC005551,,,,Floresta,10.0
LOC005552,,,,Monserrat,1.0
LOC005553,,,,Caballito,6.0
LOC005555,P072,P072-7,P072-7,Belgrano,13.0
LOC005556,,,,Caballito,6.0
LOC005557,P056,P056,P056,Caballito,6.0
LOC005558,P082,P082,P082,Almagro,5.0
LOC005559,P097,P097,P097,Recoleta,2.0
LOC005560,P108,P108,P108,Monserrat,1.0
LOC005561,P096,P096,P096,Recoleta,2.0
LOC005562,,,,Parque Avellaneda,9.0
LOC005563,,,,Retiro,1.0
LOC005564,P117,P117,P117,San Nicolas,1.0
LOC005565,,,,Monserrat,1.0
LOC005566,,,,Almagro,5.0
LOC005567,,,,Palermo,14.0
LOC005568,P025,,,Monte Castro,10.0
LOC005569,P078,P078,P078,Palermo,14.0
LOC005570,,,,Almagro,5.0
LOC005571,P086,P086,P086,Villa Crespo,15.0
LOC005573,,,,Villa Crespo,15.0
LOC005574,,,,San Nicolas,1.0
LOC005575,,,,Parque Patricios,4.0
LOC005576,P021,P021,P021,Liniers,9.0
LOC005577,P065,P065,P065,Palermo,14.0
LOC005578,P082,P082,P082,Almagro,5.0
LOC005579,P068,P068,P068,Chacarita,15.0
LOC005580,,,,Villa Devoto,11.0
LOC005581,,,,Floresta,10.0
LOC005582,P045,P045,P045,Villa Urquiza,12.0
LOC005583,P055,P055,P055,Balvanera,3.0
LOC005584,,,,Almagro,5.0
LOC005585,,,,Villa Gral. Mitre,11.0
LOC005586,,,,Recoleta,2.0
LOC005587,,,,Chacarita,15.0
LOC005588,,,,Villa Urquiza,12.0
LOC005589,P005,P005,P005,Villa Lugano,8.0
LOC005591,P103,P103,P103,San Telmo,1.0
LOC005592,P072,,,Nuñez,13.0
LOC005593,P005,P005,P005,Villa Lugano,8.0
LOC005594,P107,P107,P107,Balvanera,3.0
LOC005595,P073,P073,P073,Palermo,14.0
LOC005596,P103,P103,P103,San Telmo,1.0
LOC005597,P076,P076,P076,Palermo,14.0
LOC005598,P040,P040,P040,Villa Del Parque,11.0
