polo_id,n_locales,ha,locales_x_ha,clase_densidad,distancia_al_corte,barrios,comunas,calles_dominantes,pct_locales_con_direccion,zonas_publicadas_encima,polo_mas_cercano,d_al_vecino_entre_puntos_m
P031,42,7.58,5.541,concentración,0.956,Floresta (32); Velez Sarsfield (10),10,Gaona (6); Segurola (4); Juan B Justo (3); Avellaneda (2); Mercedes (2); Juan Bautista Justo (2),47.6,ninguna,P042,398.2
P023,42,14.49,2.899,concentración extendida,-1.686,Villa Pueyrredon (42),12,Jose Gervasio Artigas (7); Jose G Artigas (2); Cochrane (1); Jose Leon Cabezon (1); Ladines (1); Estado Plurinacional De Bolivia (1),42.9,"R22 Villa Pueyrredon (100% del polo, 5% de la zona)",P028,206.9
P025-1,42,10.19,4.12,concentración extendida,-0.465,Monte Castro (42),10,Alvarez Jonte (12); Segurola (5); Allende (1); Miranda (1); Benito Juarez (1),50.0,ninguna,P025-2,140.8
P013,42,10.79,3.893,concentración extendida,-0.692,Mataderos (42),9,Juan Bautista Alberdi (13); Andalgala (2); Saladillo (1); Cuenca (1); Bragado (1); Severo Garcia Grande De Zequeira (1),59.5,ninguna,P012,191.5
P050,42,5.07,8.277,concentración,3.692,Caballito (42),6,Hidalgo (7); Honorio Pueyrredon (6); Felipe Vallese (3); Arengreen (2); Mendez De Andes (1),45.2,ninguna,P063,148.0
P069,42,7.59,5.53,concentración,0.945,Belgrano (42),13,Echeverria (8); Zapiola (4); Juramento (3); Conde (2); Cap Ramon Freire (1); Cramer (1),47.6,ninguna,P072-4,177.0
P102,42,3.94,10.664,concentración,6.079,San Telmo (35); Barracas (7),1; 4,Defensa (7); Brasil (5); Caseros (3); Bolivar (2); Juan De Garay (2); Cochabamba (1),47.6,"R11 Boulevard Caseros (21% del polo, 2% de la zona)",P103,129.5
P035,42,9.39,4.474,concentración extendida,-0.111,Villa Devoto (37); Villa Pueyrredon (5),11; 12,Mosconi (7); San Martin (5); Fernandez De Enciso (2); Concordia (1); Campana (1); Bacon (1),47.6,"R15 Devoto (51% del polo, 1% de la zona) · R22 Villa Pueyrredon (10% del polo, 0% de la zona)",P028,275.0
P011,41,7.08,5.791,concentración,1.206,Saavedra (41),12,Vedia (8); Dot Baires Shopping (3); Tronador (2); Posta (2); Melian (2); Pico (1),58.5,ninguna,P022,326.9
P019,41,20.78,1.973,concentración extendida,-2.612,Parque Patricios (26); San Cristobal (15),3; 4,Brasil (5); Alberti (4); Jujuy (3); Juan De Garay (3); Matheu (2); Inclan (1),51.2,ninguna,P027,135.4
P036,41,9.86,4.159,concentración extendida,-0.426,Flores (28); Villa Gral. Mitre (12); Villa Santa Rita (1),7; 11,Gaona (14); Boyaca (3); Gavilan (2); Jose Gervasio Artigas (1); 1584 Gaona (1),51.2,ninguna,P052,364.2
P096,41,3.86,10.632,concentración,6.047,Recoleta (41),2,Las Heras (6); Aguero (4); Juan Maria Gutierrez (4); Pueyrredon (3); Jose Andres Pacheco De Melo (1); 1425 (1),58.5,"R06 Recoleta (100% del polo, 3% de la zona)",P097,117.0
P109,41,3.29,12.472,concentración,7.887,San Nicolas (14); Recoleta (14); Balvanera (13),1; 2; 3,Callao (7); Cordoba (5); Viamonte (2); Paraguay (1); Riobamba (1),39.0,ninguna,P113,103.4
P039,41,7.93,5.168,concentración,0.583,Villa Urquiza (41),12,Monroe (9); Holmberg (5); Olazabal (2); Mariano Acha (2); Donado (1); Lugones (1),53.7,"R16 Donado-Holmberg (100% del polo, 7% de la zona)",P046,183.8
P055,40,8.52,4.695,concentración,0.11,Balvanera (40),3,La Rioja (9); Urquiza (6); Mexico (2); Independencia (2); Agrelo (1); Belgrano (1),60.0,ninguna,P062,148.2
P049,40,7.62,5.246,concentración,0.661,Caballito (40),6,Rivadavia (14); Fragata Sarmiento (1); Jose Juan Biedma (1); Gascon Hospital Italiano (1); Victor Martinez (1),45.0,"R10 Caballito (30% del polo, 1% de la zona)",P054,142.4
P034,40,10.66,3.752,concentración extendida,-0.833,Monte Castro (14); Villa Del Parque (14); Villa Santa Rita (12),10; 11,Alvarez Jonte (9); Emilio Lamarca (4); Miranda (2); Bahia Blanca (2); Lascano (1); Tokio (1),50.0,ninguna,P025-1,406.3
P072-3,40,5.08,7.88,concentración,3.295,Belgrano (40),13,Monroe (13); Cramer (3); Zapiola (1); Ricardo Balbin (1); Vidal (1); Moldes (1),50.0,ninguna,P072-4,88.2
