polo_uid,legacy_id,polo_nombre,dimension_tipo,dimension_id,dimension_nombre,porcentaje_superficie,locales,es_principal,criterio_principal,comuna_principal,comunas_secundarias,barrios,fuente_geometria,universo_locales
POLO-R12,R12,Centro y Microcentro,BARRIO,BARRIO_RETIRO,Retiro,30.401557,251,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 1,,San Nicolas;Retiro;Monserrat,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R12,R12,Centro y Microcentro,BARRIO,BARRIO_SAN_NICOLAS,San Nicolas,51.141732,477,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 1,,San Nicolas;Retiro;Monserrat,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R12,R12,Centro y Microcentro,COMUNA,COMUNA_01,Comuna 1,100.0,875,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 1,,San Nicolas;Retiro;Monserrat,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R13,R13,Abasto,BARRIO,BARRIO_ALMAGRO,Almagro,44.377436,159,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 3,Comuna 5,Balvanera;Almagro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R13,R13,Abasto,BARRIO,BARRIO_BALVANERA,Balvanera,55.622564,206,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 3,Comuna 5,Balvanera;Almagro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R13,R13,Abasto,COMUNA,COMUNA_03,Comuna 3,55.622564,206,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 3,Comuna 5,Balvanera;Almagro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R13,R13,Abasto,COMUNA,COMUNA_05,Comuna 5,44.377436,159,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 3,Comuna 5,Balvanera;Almagro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R14,R14,Avenida Boedo,BARRIO,BARRIO_ALMAGRO,Almagro,10.252309,34,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 5,Comuna 4;Comuna 3,Boedo;Almagro;Nueva Pompeya;San Cristobal;Parque Patricios,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R14,R14,Avenida Boedo,BARRIO,BARRIO_BOEDO,Boedo,79.249476,183,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 5,Comuna 4;Comuna 3,Boedo;Almagro;Nueva Pompeya;San Cristobal;Parque Patricios,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R14,R14,Avenida Boedo,BARRIO,BARRIO_NUEVA_POMPEYA,Nueva Pompeya,9.673254,27,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 5,Comuna 4;Comuna 3,Boedo;Almagro;Nueva Pompeya;San Cristobal;Parque Patricios,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R14,R14,Avenida Boedo,BARRIO,BARRIO_PARQUE_PATRICIOS,Parque Patricios,0.113264,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 5,Comuna 4;Comuna 3,Boedo;Almagro;Nueva Pompeya;San Cristobal;Parque Patricios,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R14,R14,Avenida Boedo,BARRIO,BARRIO_SAN_CRISTOBAL,San Cristobal,0.711697,1,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 5,Comuna 4;Comuna 3,Boedo;Almagro;Nueva Pompeya;San Cristobal;Parque Patricios,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R14,R14,Avenida Boedo,COMUNA,COMUNA_03,Comuna 3,0.711697,1,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 5,Comuna 4;Comuna 3,Boedo;Almagro;Nueva Pompeya;San Cristobal;Parque Patricios,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R14,R14,Avenida Boedo,COMUNA,COMUNA_04,Comuna 4,9.786518,27,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 5,Comuna 4;Comuna 3,Boedo;Almagro;Nueva Pompeya;San Cristobal;Parque Patricios,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R14,R14,Avenida Boedo,COMUNA,COMUNA_05,Comuna 5,89.501785,217,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 5,Comuna 4;Comuna 3,Boedo;Almagro;Nueva Pompeya;San Cristobal;Parque Patricios,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R15,R15,Devoto,BARRIO,FUERA_COBERTURA_OFICIAL_BARRIO,Fuera de cobertura oficial,1.716514,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10,Villa Devoto;Villa Real;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R15,R15,Devoto,BARRIO,BARRIO_MONTE_CASTRO,Monte Castro,0.470176,4,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10,Villa Devoto;Villa Real;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R15,R15,Devoto,BARRIO,BARRIO_VILLA_DEVOTO,Villa Devoto,93.720637,377,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10,Villa Devoto;Villa Real;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R15,R15,Devoto,BARRIO,BARRIO_VILLA_REAL,Villa Real,4.092672,41,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10,Villa Devoto;Villa Real;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R15,R15,Devoto,COMUNA,COMUNA_10,Comuna 10,4.562849,45,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10,Villa Devoto;Villa Real;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R15,R15,Devoto,COMUNA,COMUNA_11,Comuna 11,93.720637,377,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10,Villa Devoto;Villa Real;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R15,R15,Devoto,COMUNA,FUERA_COBERTURA_OFICIAL_COMUNA,Fuera de cobertura oficial,1.716514,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10,Villa Devoto;Villa Real;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R16,R16,Donado-Holmberg,BARRIO,BARRIO_COGHLAN,Coghlan,4.603915,3,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Coghlan;Saavedra,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R16,R16,Donado-Holmberg,BARRIO,BARRIO_SAAVEDRA,Saavedra,5.190726,1,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Coghlan;Saavedra,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R16,R16,Donado-Holmberg,BARRIO,BARRIO_VILLA_ORTUZAR,Villa Ortuzar,8.553846,16,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Coghlan;Saavedra,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R16,R16,Donado-Holmberg,BARRIO,BARRIO_VILLA_URQUIZA,Villa Urquiza,81.651512,101,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Coghlan;Saavedra,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R16,R16,Donado-Holmberg,COMUNA,COMUNA_12,Comuna 12,91.446154,105,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Coghlan;Saavedra,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R16,R16,Donado-Holmberg,COMUNA,COMUNA_15,Comuna 15,8.553846,16,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Coghlan;Saavedra,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R17,R17,Villa Urquiza,BARRIO,BARRIO_AGRONOMIA,Agronomia,0.435388,3,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Parque Chas;Saavedra;Agronomia,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R17,R17,Villa Urquiza,BARRIO,BARRIO_PARQUE_CHAS,Parque Chas,4.475167,7,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Parque Chas;Saavedra;Agronomia,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R17,R17,Villa Urquiza,BARRIO,BARRIO_SAAVEDRA,Saavedra,4.71159,3,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Parque Chas;Saavedra;Agronomia,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R17,R17,Villa Urquiza,BARRIO,BARRIO_VILLA_ORTUZAR,Villa Ortuzar,2.361366,16,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Parque Chas;Saavedra;Agronomia,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R17,R17,Villa Urquiza,BARRIO,BARRIO_VILLA_URQUIZA,Villa Urquiza,88.016489,499,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Parque Chas;Saavedra;Agronomia,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R17,R17,Villa Urquiza,COMUNA,COMUNA_12,Comuna 12,92.728079,502,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Parque Chas;Saavedra;Agronomia,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R17,R17,Villa Urquiza,COMUNA,COMUNA_15,Comuna 15,7.271921,26,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 15,Villa Urquiza;Villa Ortuzar;Parque Chas;Saavedra;Agronomia,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R20,R20,Garcia del Rio,BARRIO,BARRIO_NUNEZ,Nuñez,3.817204,6,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 13,Saavedra;Nuñez,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R20,R20,Garcia del Rio,BARRIO,BARRIO_SAAVEDRA,Saavedra,96.182796,96,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 13,Saavedra;Nuñez,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R20,R20,Garcia del Rio,COMUNA,COMUNA_12,Comuna 12,96.182796,96,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 13,Saavedra;Nuñez,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R20,R20,Garcia del Rio,COMUNA,COMUNA_13,Comuna 13,3.817204,6,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 12,Comuna 13,Saavedra;Nuñez,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_AGRONOMIA,Agronomia,5.65057,1,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_CABALLITO,Caballito,2.675462,30,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_CHACARITA,Chacarita,3.69085,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_PARQUE_CHAS,Parque Chas,4.633493,7,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_PATERNAL,Paternal,53.08121,107,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_VILLA_CRESPO,Villa Crespo,17.263916,98,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_VILLA_DEL_PARQUE,Villa Del Parque,4.6355,1,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_VILLA_GRAL_MITRE,Villa Gral. Mitre,6.245827,44,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,BARRIO,BARRIO_VILLA_ORTUZAR,Villa Ortuzar,2.12317,5,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,COMUNA,COMUNA_11,Comuna 11,10.881328,45,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,COMUNA,COMUNA_15,Comuna 15,86.44321,218,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-R21,R21,La Paternal,COMUNA,COMUNA_06,Comuna 6,2.675462,30,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 15,Comuna 11;Comuna 6,Paternal;Villa Crespo;Villa Gral. Mitre;Caballito;Parque Chas;Villa Ortuzar;Agronomia;Villa Del Parque;Chacarita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z24,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,BARRIO,BARRIO_FLORES,Flores,79.35691,82,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 7,Comuna 10;Comuna 11,Flores;Floresta;Villa Santa Rita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z24,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,BARRIO,BARRIO_FLORESTA,Floresta,19.31136,23,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 7,Comuna 10;Comuna 11,Flores;Floresta;Villa Santa Rita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z24,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,BARRIO,BARRIO_VILLA_SANTA_RITA,Villa Santa Rita,1.33173,2,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 7,Comuna 10;Comuna 11,Flores;Floresta;Villa Santa Rita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z24,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,COMUNA,COMUNA_10,Comuna 10,19.31136,23,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 7,Comuna 10;Comuna 11,Flores;Floresta;Villa Santa Rita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z24,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,COMUNA,COMUNA_11,Comuna 11,1.33173,2,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 7,Comuna 10;Comuna 11,Flores;Floresta;Villa Santa Rita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z24,Z24,Flores · Avellaneda y Pasaje Ruperto Godoy,COMUNA,COMUNA_07,Comuna 7,79.35691,82,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 7,Comuna 10;Comuna 11,Flores;Floresta;Villa Santa Rita,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z27,Z27,Villa Santa Rita,BARRIO,BARRIO_FLORES,Flores,0.012992,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10;Comuna 7,Villa Santa Rita;Floresta;Flores;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z27,Z27,Villa Santa Rita,BARRIO,BARRIO_FLORESTA,Floresta,0.035434,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10;Comuna 7,Villa Santa Rita;Floresta;Flores;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z27,Z27,Villa Santa Rita,BARRIO,BARRIO_MONTE_CASTRO,Monte Castro,0.00533,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10;Comuna 7,Villa Santa Rita;Floresta;Flores;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z27,Z27,Villa Santa Rita,BARRIO,BARRIO_VILLA_SANTA_RITA,Villa Santa Rita,99.946245,182,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10;Comuna 7,Villa Santa Rita;Floresta;Flores;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z27,Z27,Villa Santa Rita,COMUNA,COMUNA_10,Comuna 10,0.040763,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10;Comuna 7,Villa Santa Rita;Floresta;Flores;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z27,Z27,Villa Santa Rita,COMUNA,COMUNA_11,Comuna 11,99.946245,182,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10;Comuna 7,Villa Santa Rita;Floresta;Flores;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z27,Z27,Villa Santa Rita,COMUNA,COMUNA_07,Comuna 7,0.012992,0,NO,mayor cantidad de locales; fallback mayor superficie,Comuna 11,Comuna 10;Comuna 7,Villa Santa Rita;Floresta;Flores;Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z28,Z28,Monte Castro,BARRIO,BARRIO_MONTE_CASTRO,Monte Castro,100.0,69,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 10,,Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z28,Z28,Monte Castro,COMUNA,COMUNA_10,Comuna 10,100.0,69,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 10,,Monte Castro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z31,Z31,Villa Luro,BARRIO,BARRIO_VILLA_LURO,Villa Luro,100.0,41,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 10,,Villa Luro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z31,Z31,Villa Luro,COMUNA,COMUNA_10,Comuna 10,100.0,41,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 10,,Villa Luro,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
POLO-Z32,Z32,Liniers · Mercado Andino,BARRIO,BARRIO_LINIERS,Liniers,100.0,63,SI,mayor cantidad de locales; fallback mayor superficie,Comuna 9,,Liniers,outputs/BARRIDO_CIUDAD_2026-08/insumos/caba_comunas.geojson; caba_barrios.geojson,base/local.csv; anillo=nucleo; apto_geometria=true
