polo_uid,legacy_id,polo_nombre,referente_id,nombre,categoria_referente,categoria_visual,simbolo_visual,subcategoria,direccion,lat,lon,barrio,comuna,estado_vigencia,fecha_verificacion,reconocimiento,fuente,nivel_confianza,motivo_inclusion,es_icono_principal,estado_icono_principal,puntaje_icono_principal_propuesto,elegible_icono_principal_propuesto,regla_icono_principal,es_ancla,observaciones,asignacion_metodo,fuera_geometria,cerca_borde_50m,distancia_borde_m,relacion_espacial,relacion_espacial_etiqueta,umbral_relacion_espacial_m
POLO-Z33,Z33,Mataderos,HITO-PAT-003,Edificios Administrativos del Antiguo Matadero,patrimonio,Patrimonio normativo,X,Monumento Historico Nacional + APH 21,Av. Lisandro de la Torre y Av. de los Corrales,-34.662558,-58.500164,Mataderos,Comuna 9,SIN_VERIFICAR,,Monumento Historico Nacional + APH 21,https://aquimataderosonline.com.ar/patrimonio-historico-arquitectonico-del-barrio-de-mataderos/,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,61,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,99.319,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z37,Z37,Almagro,HITO-ICO-003,El Mirasol de Boedo,Restaurante Icónico,Restaurante icónico,SQUARE,,BOEDO 136,-34.612897,-58.417618,Almagro,Comuna 5,SIN_VERIFICAR,,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/el-mirasol-de-boedo,alta,referente documentado; asignación documento,SI,PROPUESTA_NO_INSTITUCIONAL,49,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,SI,48.731,BORDE_HASTA_50M,referente de borde (hasta 50 m),0 / 50 / 250
POLO-Z37,Z37,Almagro,HITO-H071,LAS VIOLETAS,Bar Notable,Bar Notable,CIRCLE,,Av. Rivadavia 3899,-34.611314,-58.420777,Almagro,Comuna 5,OPERATIVO,2026-07-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,62.885,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z37,Z37,Almagro,HITO-H063,La Orquidea,Bar Notable,Bar Notable,CIRCLE,,Av. Corrientes 4101,-34.602917,-58.42267,Almagro,Comuna 5,OPERATIVO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,131.455,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z41,Z41,Nunez,HITO-MIC-039,Evelia,MICHELIN,Distinción MICHELIN,STAR,Recomendado/seleccionado,Campos Salles 1712,-34.548355,-58.458392,Nuñez,Comuna 13,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/evelia,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,398.281,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z41,Z41,Nunez,HITO-MIC-024,Garabato Bistro,Bib Gourmand,Distinción MICHELIN,STAR,selección MICHELIN,O'Higgins 3424,-34.548501,-58.463572,Nuñez,Comuna 13,SIN_VERIFICAR,,Bib Gourmand,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/garabato-bistro,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,53,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,426.696,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z41,Z41,Nunez,HITO-H041,La Escuela,Bar Notable,Bar Notable,CIRCLE,,Manuela Pedraza 2803,-34.553649,-58.469955,Nuñez,Comuna 13,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,274.685,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z44,Z44,Villa Ortuzar,HITO-DIR-009,La Mezzetta,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),Av. Alvarez Thomas 1321,-34.578231,-58.460815,Villa Ortuzar,Comuna 15,SIN_VERIFICAR,,APYCE + GCBA (2025),https://www.cronista.com/clase/gourmet/la-historica-pizzeria-portena-que-abrio-hace-mas-de-80-anos-solo-tiene-4-variedades-y-su-estrella-es-la-fugazzeta-rellena/,media,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,86,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,27.242,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z46,Z46,Retiro,HITO-H002,Barbaro,Bar Notable,Bar Notable,CIRCLE,,Tres Sargentos 415,-34.597887,-58.373198,Retiro,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,73.507,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z46,Z46,Retiro,HITO-DIR-004,El Cuartito,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),Talcahuano 937,-34.597845,-58.385527,Retiro,Comuna 1,SIN_VERIFICAR,,APYCE + GCBA (2025),https://elcuartito.com.ar/,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,63,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,135.485,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z46,Z46,Retiro,HITO-H089,Josephina's Cafe,Bar Notable,Bar Notable,CIRCLE,,Guido 1532,-34.592512,-58.38697,Retiro,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,62.177,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z47,Z47,Monserrat y Congreso,HITO-H074,36 BILLARES,Bar Notable,Bar Notable,CIRCLE,,Av. de Mayo 1265,-34.60917,-58.384301,Monserrat,Comuna 1,OPERATIVO,2026-07-04,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,50.285,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z47,Z47,Monserrat y Congreso,HITO-H020,Cabildo de Buenos Aires,Bar Notable,Bar Notable,CIRCLE,,Peru 86,-34.609028,-58.374846,Monserrat,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,SI,17.64,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z47,Z47,Monserrat y Congreso,HITO-H073,London City,Bar Notable,Bar Notable,CIRCLE,,Av. de Mayo 599,-34.608508,-58.37474,Monserrat,Comuna 1,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,54.375,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z50,Z50,Barracas · Av. Montes de Oca,HITO-H052,El Progreso,Bar Notable,Bar Notable,CIRCLE,,Av. Montes de Oca 1700,-34.646536,-58.372916,Barracas,Comuna 4,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria,SI,PROPUESTA_NO_INSTITUCIONAL,45,SI,ver REGLA_ICONOS_PRINCIPALES.md,NO,,GEOMETRIA,NO,SI,8.46,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z50,Z50,Barracas · Av. Montes de Oca,HITO-DIR-014,Los Campeones,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2026),Av. Montes de Oca 856,-34.638058,-58.374593,Barracas,Comuna 4,SIN_VERIFICAR,2026-05-29,APYCE + GCBA (2026),https://turismo.buenosaires.gob.ar/es/gastronomico/los-campeones,alta,referente documentado; asignación geometria,SI,PROPUESTA_NO_INSTITUCIONAL,43,SI,ver REGLA_ICONOS_PRINCIPALES.md,NO,,GEOMETRIA,NO,NO,100.2,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z51,Z51,"Barracas · Iriarte, California y Vieytes",HITO-H076,Los Laureles,Bar Notable,Bar Notable,CIRCLE,,Av. Iriarte 2290,-34.64945,-58.37943,Barracas,Comuna 4,REABIERTO,2026-08-07,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria,SI,PROPUESTA_NO_INSTITUCIONAL,70,SI,ver REGLA_ICONOS_PRINCIPALES.md,NO,,GEOMETRIA,NO,SI,15.624,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z52,Z52,La Boca · Almirante Brown y Necochea,HITO-DIR-010,Banchero,pizzería histórica,Pizzería Emblemática,TRIANGLE,APYCE + GCBA (2025),Suarez 396,-34.635258,-58.358632,Boca,Comuna 4,SIN_VERIFICAR,,APYCE + GCBA (2025),https://turismo.buenosaires.gob.ar/es/gastronomico/banchero,alta,referente documentado; asignación geometria,SI,PROPUESTA_NO_INSTITUCIONAL,43,SI,ver REGLA_ICONOS_PRINCIPALES.md,NO,,GEOMETRIA,NO,SI,24.57,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z52,Z52,La Boca · Almirante Brown y Necochea,HITO-H031,Café Roma,Bar Notable,Bar Notable,CIRCLE,,Olavarria 409,-34.636242,-58.358759,Boca,Comuna 4,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria,SI,PROPUESTA_NO_INSTITUCIONAL,45,SI,ver REGLA_ICONOS_PRINCIPALES.md,NO,,GEOMETRIA,NO,NO,97.297,DENTRO,referente dentro del polo,0 / 50 / 250
POLO-Z53,Z53,La Boca · Caminito y Vuelta de Rocha,HITO-H069,LA PERLA,Bar Notable,Bar Notable,CIRCLE,,Av. Don Pedro de Mendoza 1899,-34.639338,-58.361731,Boca,Comuna 4,OPERATIVO,2026-05-20,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria,SI,PROPUESTA_NO_INSTITUCIONAL,70,SI,ver REGLA_ICONOS_PRINCIPALES.md,NO,,GEOMETRIA,NO,SI,27.758,DENTRO,referente dentro del polo,0 / 50 / 250
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,HITO-ICO-001,Albamonte Ristorante,Restaurante Icónico,Restaurante icónico,SQUARE,,CORRIENTES AV. 6735,-34.587694,-58.453078,Chacarita,Comuna 15,SIN_VERIFICAR,2026-08-08,Restaurante Icónico,https://turismo.buenosaires.gob.ar/es/gastronomico/albamonte-ristorante,alta,referente documentado; asignación geometria,SI,PROPUESTA_NO_INSTITUCIONAL,39,SI,ver REGLA_ICONOS_PRINCIPALES.md,NO,,GEOMETRIA,NO,NO,221.702,DENTRO,referente dentro del polo,0 / 50 / 250
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,HITO-H010,Bar Conde,Bar Notable,Bar Notable,CIRCLE,,Federico Lacroze 3193,-34.577801,-58.449427,Colegiales,Comuna 13,OPERATIVO,2026-07-29,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria+documento,SI,PROPUESTA_NO_INSTITUCIONAL,65,SI,ver REGLA_ICONOS_PRINCIPALES.md,SI,,GEOMETRIA+DOCUMENTO,NO,NO,333.223,DENTRO,referente dentro del polo,0 / 50 / 250
SYS-CHACAGIALES,R09+R19+Z43,Chacagiales,HITO-H029,CAFE PALACIO,Bar Notable,Bar Notable,CIRCLE,,Av. Federico Lacroze 3901,-34.584401,-58.453574,Chacarita,Comuna 15,OPERATIVO,,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación geometria,SI,PROPUESTA_NO_INSTITUCIONAL,45,SI,ver REGLA_ICONOS_PRINCIPALES.md,NO,,GEOMETRIA,NO,NO,181.464,DENTRO,referente dentro del polo,0 / 50 / 250
