polo_id,nombre_polo,soporte_clase,n_locales,ha,via_A_abierta,via_C_abierta,via_F_abierta,zona_via_B,via_B_modo,zona_via_D,via_D_modo,zona_via_E,via_E_modo,cobertura_de_la_zona_pct,como_se_asigno,via_B_soporte_del_fragmento,nota
PGR_P083,P083 · Almagro,polo del borrador,40.0,5.67,si,no,si,Z37,heredada,Z37,heredada,Z37,heredada,1.4,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P025-2,P025-2 · Monte Castro,polo del borrador,38.0,4.89,si,no,no,Z28,heredada,Z28,heredada,Z28,heredada,1.7,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P058,P058 · Flores,polo del borrador,53.0,11.39,si,no,si,Z23,heredada,Z23,heredada,Z23,heredada,,"por residuo: no toca ninguna zona delimitada de Flores (Z39b: 0.0 % del fragmento, a 536 m · Z24: 0.0 % del fragmento, a 1,072 m), así que queda en Z23, que es la que no tiene perímetro resoluble",sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P007,P007 · Belgrano,polo del borrador,40.0,8.96,si,no,si,R05,heredada,R05,heredada,R05,heredada,0.0,asignación de la vía E,sin_verificar,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P064,P064 · Palermo,polo del borrador,39.0,9.12,si,no,si,R01,heredada,R01,heredada,R01,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P060,P060 · Flores,polo del borrador,36.0,5.85,si,no,no,Z23,heredada,Z23,heredada,Z23,heredada,,"por residuo: no toca ninguna zona delimitada de Flores (Z24: 0.0 % del fragmento, a 707 m · Z39b: 0.0 % del fragmento, a 975 m), así que queda en Z23, que es la que no tiene perímetro resoluble",sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P010,P010 · Floresta,polo del borrador,37.0,10.63,si,no,si,Z25,heredada,Z25,heredada,Z25,heredada,2.7,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P031,P031 · Floresta,polo del borrador,33.0,7.58,si,no,no,Z25,heredada,Z25,heredada,Z25,heredada,3.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P025-1,P025-1 · Monte Castro,polo del borrador,37.0,10.19,si,no,si,Z28,heredada,Z28,heredada,Z28,heredada,3.9,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P013,P013 · Mataderos,polo del borrador,34.0,10.79,si,no,si,Z33,heredada,Z33,heredada,Z33,heredada,1.5,asignación de la vía E,probable,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P050,P050 · Caballito,polo del borrador,34.0,5.07,si,no,no,R10,heredada,R10,heredada,R10,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P069,P069 · Belgrano,polo del borrador,39.0,7.59,si,no,si,R05,heredada,R05,heredada,R05,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P011,P011 · Saavedra,polo del borrador,30.0,7.08,si,no,si,R20,heredada,R20,heredada,R20,heredada,0.0,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P019,P019 · Parque Patricios,polo del borrador,32.0,20.78,si,no,no,Z40,heredada,Z40,heredada,Z40,heredada,1.9,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P036,P036 · Flores,polo del borrador,33.0,9.86,si,no,si,Z23,heredada,Z23,heredada,Z23,heredada,,"por residuo: no toca ninguna zona delimitada de Flores (Z24: 0.0 % del fragmento, a 239 m · Z39b: 0.0 % del fragmento, a 2,402 m), así que queda en Z23, que es la que no tiene perímetro resoluble",sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P109,P109 · San Nicolas,polo del borrador,34.0,3.29,si,no,no,Z47,heredada,Z47,heredada,Z47,heredada,0.0,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P055,P055 · Balvanera,polo del borrador,36.0,8.52,si,no,si,Z35,heredada,Z35,heredada,Z35,heredada,,"por residuo: no toca ninguna zona delimitada de Balvanera (Z35: 0.0 % del fragmento, a 405 m · Z47: 0.0 % del fragmento, a 1,459 m), así que queda en Z35, que es la que no tiene perímetro resoluble",sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P034,P034 · Monte Castro,polo del borrador,36.0,10.66,si,no,si,Z28,heredada,Z28,heredada,Z28,heredada,1.7,asignación de la vía E,activo,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
PGR_P072-3,P072-3 · Belgrano,polo del borrador,38.0,5.08,si,no,si,Z45,heredada,Z45,heredada,Z45,heredada,0.6,asignación de la vía E,sin_hitos,"las vías B, D y E NO se copian acá: viven en zonas_via_B_via_D_r7.csv y se buscan por zona_via_*. La herencia no vale hacia arriba: un fragmento de una zona con hitos no es un polo con hitos."
