hito_id,nombre,direccion,barrio_declarado,registro_oficial,vigencia_verificada,vigencia_nivel,consulta
H081,Petit Colón,Libertad 505,,bar_notable,sin_verificar,,"Petit Colón, Libertad 505, Ciudad Autónoma de Buenos Aires, Argentina"
H033,SAN BERNARDO,Av. Corrientes 5436,,bar_notable,sin_verificar,,"SAN BERNARDO, Av. Corrientes 5436, Ciudad Autónoma de Buenos Aires, Argentina"
H083,STYLO CAFE,Fernandez de Enciso 3934,,bar_notable,sin_verificar,,"STYLO CAFE, Fernandez de Enciso 3934, Ciudad Autónoma de Buenos Aires, Argentina"
H084,The New Brighton,Sarmiento 645,,bar_notable,no,v2,"The New Brighton, Sarmiento 645, Ciudad Autónoma de Buenos Aires, Argentina"
H085,Varela Varelita,Av. Scalabrini Ortiz 2102,,bar_notable,sin_verificar,,"Varela Varelita, Av. Scalabrini Ortiz 2102, Ciudad Autónoma de Buenos Aires, Argentina"
H045,12 de octubre,Bulnes 331,,bar_notable,si,v2,"12 de octubre, Bulnes 331, Ciudad Autónoma de Buenos Aires, Argentina"
H003,Bar Bidou,Av. Roque Saenz Pena 858,,bar_notable,sin_verificar,,"Bar Bidou, Av. Roque Saenz Pena 858, Ciudad Autónoma de Buenos Aires, Argentina"
H011,Bar Lavalle,Lavalle 1693,,bar_notable,sin_verificar,,"Bar Lavalle, Lavalle 1693, Ciudad Autónoma de Buenos Aires, Argentina"
H028,Café Olimpo,Irigoyen 1491,Monte Castro,bar_notable,si,v2,"Café Olimpo, Irigoyen 1491, Ciudad Autónoma de Buenos Aires, Argentina"
H040,Clásica y moderna,Av. Callao 892,Recoleta,bar_notable,si,v2,"Clásica y moderna, Av. Callao 892, Ciudad Autónoma de Buenos Aires, Argentina"
H077,Mar Azul,Tucuman 1700,,bar_notable,sin_verificar,,"Mar Azul, Tucuman 1700, Ciudad Autónoma de Buenos Aires, Argentina"
H030,Plaza Café,Av. Rivadavia 4732,,bar_notable,sin_verificar,,"Plaza Café, Av. Rivadavia 4732, Ciudad Autónoma de Buenos Aires, Argentina"
H004,Bar Boca a Boca,Av. Benito Perez Galdos 201,,bar_notable,sin_verificar,,"Bar Boca a Boca, Av. Benito Perez Galdos 201, Ciudad Autónoma de Buenos Aires, Argentina"
H010,Bar Conde,Federico Lacroze 3193,,bar_notable,si,,"Bar Conde, Federico Lacroze 3193, Ciudad Autónoma de Buenos Aires, Argentina"
H017,Bar Via 71,Viamonte 1771,,bar_notable,sin_verificar,,"Bar Via 71, Viamonte 1771, Ciudad Autónoma de Buenos Aires, Argentina"
H020,Cabildo de Buenos Aires,Peru 86,,bar_notable,sin_verificar,,"Cabildo de Buenos Aires, Peru 86, Ciudad Autónoma de Buenos Aires, Argentina"
H021,Cafe Cortazar,Jose Antonio Cabrera 3797,,bar_notable,sin_verificar,,"Cafe Cortazar, Jose Antonio Cabrera 3797, Ciudad Autónoma de Buenos Aires, Argentina"
H087,Cafe Rivas,Estados Unidos 302,,bar_notable,sin_verificar,,"Cafe Rivas, Estados Unidos 302, Ciudad Autónoma de Buenos Aires, Argentina"
H090,Confiteria El Greco,Av. Rivadavia 5353,,bar_notable,sin_verificar,,"Confiteria El Greco, Av. Rivadavia 5353, Ciudad Autónoma de Buenos Aires, Argentina"
H088,El Portuario,Pinzon 102,,bar_notable,sin_verificar,,"El Portuario, Pinzon 102, Ciudad Autónoma de Buenos Aires, Argentina"
H089,Josephina's Cafe,Guido 1532,,bar_notable,sin_verificar,,"Josephina's Cafe, Guido 1532, Ciudad Autónoma de Buenos Aires, Argentina"
H041,La Escuela,Manuela Pedraza 2803,,bar_notable,sin_verificar,,"La Escuela, Manuela Pedraza 2803, Ciudad Autónoma de Buenos Aires, Argentina"
H068,La Opera,Av. Corrientes 1799,,bar_notable,sin_verificar,,"La Opera, Av. Corrientes 1799, Ciudad Autónoma de Buenos Aires, Argentina"
H063,La Orquidea,Av. Corrientes 4101,,bar_notable,probablemente_abierto,v5,"La Orquidea, Av. Corrientes 4101, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-001,La Americana,Av. Callao 83,Balvanera (Congreso),pizzeria_emblematica,sin_verificar,,"La Americana, Av. Callao 83, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-003,Guerrin,Av. Corrientes 1368,San Nicolas,pizzeria_emblematica,sin_verificar,,"Guerrin, Av. Corrientes 1368, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-004,El Cuartito,Talcahuano 937,Retiro / San Nicolas,pizzeria_emblematica,sin_verificar,,"El Cuartito, Talcahuano 937, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-005,Las Cuartetas,Av. Corrientes 838,San Nicolas,pizzeria_emblematica,sin_verificar,,"Las Cuartetas, Av. Corrientes 838, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-006,Pin Pun,Av. Corrientes 3954,Almagro,pizzeria_emblematica,sin_verificar,,"Pin Pun, Av. Corrientes 3954, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-007,Casa Burgio,Av. Cabildo 2477,Belgrano,pizzeria_emblematica,si,,"Casa Burgio, Av. Cabildo 2477, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-008,Angelin,Av. Cordoba 5270,Villa Crespo,pizzeria_emblematica,sin_verificar,,"Angelin, Av. Cordoba 5270, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-009,La Mezzetta,Av. Alvarez Thomas 1321,Villa Ortuzar,pizzeria_emblematica,sin_verificar,,"La Mezzetta, Av. Alvarez Thomas 1321, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-010,Banchero,Suarez 396,La Boca,pizzeria_emblematica,sin_verificar,,"Banchero, Suarez 396, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-011,El Cedron,Av. Juan B. Alberdi 6101,Mataderos,pizzeria_emblematica,dudosa,ninguno,"El Cedron, Av. Juan B. Alberdi 6101, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-012,Los Maestros,Parana 1249,Recoleta,pizzeria_emblematica,sin_verificar,,"Los Maestros, Parana 1249, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-013,Pirilo,Defensa 821,San Telmo,pizzeria_emblematica,sin_verificar,,"Pirilo, Defensa 821, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-014,Los Campeones,Av. Montes de Oca 856,Barracas,pizzeria_emblematica,sin_verificar,,"Los Campeones, Av. Montes de Oca 856, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-015,San Carlos,Av. Rivadavia 4548,Caballito,pizzeria_emblematica,sin_verificar,,"San Carlos, Av. Rivadavia 4548, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-016,Torino Norte,Av. Juan B. Justo 3995,La Paternal,pizzeria_emblematica,sin_verificar,,"Torino Norte, Av. Juan B. Justo 3995, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-017,Gran Pizzeria Jose,Av. San Martin 6915,Villa Devoto,pizzeria_emblematica,sin_verificar,,"Gran Pizzeria Jose, Av. San Martin 6915, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-018,El Palacio de la Pizza,Av. Corrientes 751,San Nicolas,pizzeria_emblematica,sin_verificar,,"El Palacio de la Pizza, Av. Corrientes 751, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-019,El Trebol 1969,Av. Angel Gallardo 3,Villa Crespo,pizzeria_emblematica,sin_verificar,,"El Trebol 1969, Av. Angel Gallardo 3, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-020,San Antonio,Av. Juan de Garay 3602,Boedo,pizzeria_emblematica,sin_verificar,,"San Antonio, Av. Juan de Garay 3602, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-021,Santolin,Av. San Martin 3185,La Paternal,,sin_verificar,,"Santolin, Av. San Martin 3185, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-022,Tino,Av. Diaz Velez 4520,Caballito,,sin_verificar,,"Tino, Av. Diaz Velez 4520, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-023,El Ciervo,Carhue 124,Liniers,,sin_verificar,,"El Ciervo, Carhue 124, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-024,Saverio Helados,Av. San Juan 2809,San Cristobal,,sin_verificar,,"Saverio Helados, Av. San Juan 2809, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-025,Napoli,Av. Entre Rios 1167,San Cristobal,,sin_verificar,,"Napoli, Av. Entre Rios 1167, Ciudad Autónoma de Buenos Aires, Argentina"
PAT-001,Pena Los Amigos / Bar El Chino,Beazley 3566,Nueva Pompeya,sitio_interes_cultural,dudosa,,"Pena Los Amigos / Bar El Chino, Beazley 3566, Ciudad Autónoma de Buenos Aires, Argentina"
PAT-002,Bar Catedral Tango,Timoteo Gordillo 2498,Mataderos,sitio_interes_cultural,sin_verificar,,"Bar Catedral Tango, Timoteo Gordillo 2498, Ciudad Autónoma de Buenos Aires, Argentina"
PAT-003,Edificios Administrativos del Antiguo Matadero,Av. Lisandro de la Torre y Av. de los Corrales,Mataderos,APH,sin_verificar,,"Edificios Administrativos del Antiguo Matadero, Av. Lisandro de la Torre y Av. de los Corrales, Ciudad Autónoma de Buenos Aires, Argentina"
H094,Bar Iberia,Av. de Mayo 1196,Monserrat,bar_notable,si,v2,"Bar Iberia, Av. de Mayo 1196, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-026,Gran Café Gardel,ochava Av. Entre Ríos e Independencia,Monserrat,,si,v1,"Gran Café Gardel, ochava Av. Entre Ríos e Independencia, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-027,Centro Asturiano de Buenos Aires,Solis 475,Monserrat,,dudosa,ninguno,"Centro Asturiano de Buenos Aires, Solis 475, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-028,Centro Laurak Bat (Restaurante Haritz),Av. Belgrano 1144,Monserrat,,sin_verificar,,"Centro Laurak Bat (Restaurante Haritz), Av. Belgrano 1144, Ciudad Autónoma de Buenos Aires, Argentina"
DIR-029,Casal de Catalunya,Chacabuco 863,San Telmo,,sin_verificar,,"Casal de Catalunya, Chacabuco 863, Ciudad Autónoma de Buenos Aires, Argentina"
