id,titulo,organismo,licencia,actualizado,recursos,formatos,tiene_coordenada,tiene_direccion,georreferenciable,palabras_gastro,palabras_local,columnas_sensibles,puntaje,columnas,url_portal
consulados,Consulados,Jefatura de Gabinete de Ministros,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,mail telefono,6,altura | barrio | calle | codigo_postal | codigo_postal_argentino | comuna | e_mail | id | id	 | lat | long | nombre | piso_depto | telefonos | web,https://data.buenosaires.gob.ar/dataset/consulados
consultores-profesionales-auditorias-estudios-ambientales,Consultores y profesionales en auditorias y estudios ambientales,Agencia de Protección Ambiental,CC-BY-2.5-AR,2025-09-26,4,CSV XLSX,True,True,True,,,apellido cuit mail razon_social telefono,6,altura | apellido | barrio | calle | codigo_postal | codigo_postal	 | codigo_postal_argentino | comuna | cuit | e_mail | lat | long | nombre | piso_dpto | razon_social | razon_social	 | telefono,https://data.buenosaires.gob.ar/dataset/consultores-profesionales-auditorias-estudios-ambientales
conteos-peatonales,Conteos Peatonales,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,False,True,,,,6,dia | fecha | interseccion | lat | long | tiempo | tipo_conteo | volumen_cruce_debido_peatones_x_hora | volumen_cruce_indebido_peatones_x_hora,https://data.buenosaires.gob.ar/dataset/conteos-peatonales
controladores-semaforos,Controladores de semaforos,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2025-09-29,2,CSV XLSX,True,True,True,,,,6,area | calle_1 | calle_2 | controlador | coordenada_x | coordenada_y | direccion_calle_calle | interseccion,https://data.buenosaires.gob.ar/dataset/controladores-semaforos
cruces-semaforizados,Cruces Semaforizados,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-18,4,CSV JSON XLSX ZIP,True,True,True,,,,6,anio_inau | barrio | calle_altura | calle_nombre | codigo_postal | codigo_postal_argentino | comuna | dom_norma | dom_orig | fecha_fina | fecha_inau | horario | id_codigo | id_usig | instala | lat | long | n_cruce | nro_nva | objeto | observ | origen,https://data.buenosaires.gob.ar/dataset/cruces-semaforizados
cuarteles-destacamentos-bomberos,Cuarteles y Destacamentos de Bomberos,Ministerio de Justicia y Seguridad,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,,6,altura | barrio | calle_ofic | codigo_p_1 | codigo_pos | codigo_postal | codigo_postal_argentino | comuna | cuartel | dcia | direcci | gestion | id | inters | lat | long | tel | tipo | x | y,https://data.buenosaires.gob.ar/dataset/cuarteles-destacamentos-bomberos
curia-eclesiastica,Curia Eclesiástica,Secretaría General y Relaciones Internacionales,CC-BY-2.5-AR,2026-07-28,3,CSV XLSX ZIP,True,True,True,,,mail telefono,6,barrio | calle | calle	 | calle_nro | codigo_postal | codigo_postal	 | codigo_postal_argentino	 | comuna | e_mail | lat | long | nombre | objeto | piso | telefono | web,https://data.buenosaires.gob.ar/dataset/curia-eclesiastica
camaras-fijas-control-vehicular,Cámaras fijas de control vehicular,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2025-07-23,3,CSV XLSX ZIP,True,True,True,,,,6,altura | barrio | calle_auto | calle_norm | codigo_p_1 | codigo_pos | comuna | direccion | id | intersec_1 | intersecci | km | lat_wgs84 | latitud | long_wgs84 | longitud | tipo | tipo_de_fiscalizador | ubicacion | velocidad | x | y,https://data.buenosaires.gob.ar/dataset/camaras-fijas-control-vehicular
codigo-planeamiento-urbano,Código de Planeamiento Urbano,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-06-22,59,CSV XLSX ZIP,True,True,True,,,,6,distrito_1 | distrito_2 | distrito_3 | distrito_4 | id_ale | manzana | nombre | normativa_ | obs | parcela | partida | planchetas | seccion | sector | smp | sup_edif | unidades | wkt | zona,https://data.buenosaires.gob.ar/dataset/codigo-planeamiento-urbano
departamentos-venta,Departamentos en Venta,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-06-18,53,CSV XLSX ZIP,True,True,True,,,,6,age | ambientes | antig | banos | barrios_1 | cambio | comunas | direccion | latitud | longitud | m2cub | m2total | mes | operacion | precioars | precioarsm | preciousd | preciousdm | tipo,https://data.buenosaires.gob.ar/dataset/departamentos-venta
dependencias-sedes-ministerio-publico-fiscal,Dependencias y Sedes del Ministerio Público Fiscal,Ministerio de Justicia y Seguridad,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,telefono,6,barrio | comuna | direccion | geometria | id | nombre | telefono | tipo,https://data.buenosaires.gob.ar/dataset/dependencias-sedes-ministerio-publico-fiscal
distritos-economicos,Distritos Económicos,Ministerio de Hacienda y Finanzas,CC-BY-2.5-AR,2026-06-23,4,CSV GEOJSON XLSX ZIP,True,False,True,,,,6,barrios | geometria | hectareas | identificador | nombre | superficie | tipo de distrito,https://data.buenosaires.gob.ar/dataset/distritos-economicos
edificios-publicos,Edificios Públicos,Ministerio de Hacienda y Finanzas,CC-BY-2.5-AR,2026-06-23,3,CSV XLSX ZIP,True,True,True,,,,6,altura | barrio | calle | codigo postal | codigo postal argentino | comuna | latitud | longitud | nivel de gestion | nivel organizativo 1 | nivel organizativo 2 | piso / departamento,https://data.buenosaires.gob.ar/dataset/edificios-publicos
editoriales-independientes,Editoriales Independientes,Ministerio de Educación,CC-BY-2.5-AR,2026-07-22,4,CSV XLSX,True,True,True,,,contacto telefono,6,barrio | codigo_postal | codigo_postal_argentino | comuna | contacto | contacto	 | coordenada_x | coordenada_y | correo_electronico | direccion_calle_altura | direccion_calle_altura	 | domicilio_unidad | editorial | pagina_web | telefono,https://data.buenosaires.gob.ar/dataset/editoriales-independientes
embajadas,Embajadas,Jefatura de Gabinete de Ministros,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,mail telefono,6,altura | barrio | calle | codigo_p_1 | codigo_pos | comuna | e_mail | geometry | id | lat | long | nombre | piso_depto | telefonos | web,https://data.buenosaires.gob.ar/dataset/embajadas
estaciones-saludables,Estaciones Saludables,Vicejefatura de Gobierno,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,,6,barrio | comuna | direccion | estrctura | geometry | id | nombre | servicio | tipo,https://data.buenosaires.gob.ar/dataset/estaciones-saludables
estaciones-servicio,Estaciones de servicio,Secretaria de Innovación y Transformación Digital,CC-BY-2.5-AR,2026-06-18,3,CSV XLSX ZIP,True,True,True,,,cuit razon_social,6,barrio | calle_altura | calle_cruce | calle_nombre | comuna | cuit | domicilio | id | lat | long | nombre | razon_social | tipo_de_boca,https://data.buenosaires.gob.ar/dataset/estaciones-servicio
actividades-estaticas,Estudios actividad estática.,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-17,4,CSV GEOJSON XLSX ZIP,True,False,True,,,,6,cantidad_de_filas | desborde_fila | dia | fecha | fila_max_de_personas | hora_fin | hora_inicio | lat | linea_mas_utilizada | locacion | long | mes | parada_de_linea | parador | periodo | presencia_inspector_de_linea | sentido_de_fila | tipo_desborde,https://data.buenosaires.gob.ar/dataset/actividades-estaticas
eventos-direccion-general-musica,Eventos Dirección General de Música,Ministerio de Cultura,CC-BY-2.5-AR,2026-07-21,6,CSV XLSX,True,True,True,,,apellido cuil,6,agrupacion | apellido y nombre | arancel | barrio | becados | cargo | codigo atn | codigo postal | codigo postal argentino | comuna | cuil | cupo | descripcion | dia de cursada | dia de la semana | direccion | docente a cargo | evento | fecha de finalizacion | fecha de ingreso | fecha de inicio | horario de cursada | inscriptos | instrumento | latitud | longitud | nombre del curso | observaciones | piso / departamento,https://data.buenosaires.gob.ar/dataset/eventos-direccion-general-musica
farmacias,Farmacias,Ministerio de Salud,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,telefono,6,barrio | barrio	 | calle_altura | calle_altura	 | calle_cruce | calle_cruce	 | calle_nomb | calle_nombre | calle_nombre	 | codigo_postal	 | codigo_postal_argentino	 | comuna | lat | lat	 | long | objeto | objeto	 | telefono,https://data.buenosaires.gob.ar/dataset/farmacias
federaciones,Federaciones,Vicejefatura de Gobierno,CC-BY-2.5-AR,2026-06-22,3,CSV XLSX ZIP,True,True,True,,,mail telefono,6,altura | barrio | calle | codigo_postal	 | codigo_postal_argentino	 | comuna | e_mail	 | fed_asoc | lat | long | telefono | web,https://data.buenosaires.gob.ar/dataset/federaciones
flujo-vehicular-por-radares-ausa,Flujo vehicular por radares AUSA.,Autopistas Urbanas (AUSA),CC-BY-2.5-AR,2026-06-18,11,CSV XLSX,True,True,True,,,,6,"aut nombre | aut nombre	 | autopista_nombre | cantidad | dia, mes, ano de h_fecha | dia, mes, ano de h_fecha	 | disp lat | disp lat	 | disp lng | disp lng	 | disp nombre | disp nombre	 | disp ubicacion | disp ubicacion	 | disp_nombre | disp_ubicacion | fecha | h_cant_veh | h_hora | hora | hora de h_fecha | hora de h_fecha	 | mes, dia, ano de h_fecha | seccion sentido | seccion sentido	 | seccion_sentido",https://data.buenosaires.gob.ar/dataset/flujo-vehicular-por-radares-ausa
fuentes,Fuentes,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-23,4,CSV XLSX,True,True,True,,,,6,comuna | direccion normalizada | direccion normalizada	 | fuente | latitud | longitud | lugar | nombre | tipo de ubicacion | ubicacion | ubicacion	 | x | y,https://data.buenosaires.gob.ar/dataset/fuentes
geriatricos,Geriatricos,Ministerio de Justicia y Seguridad,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,mail telefono,6,altura	 | barrios | calle | comuna | direcci_1	 | direccion | grup_elect	 | mail_1	 | nombre_de | objetid | poblacion	 | responsabl	 | sumi_elect	 | suministr	 | telefono_1 | wkt | x | y,https://data.buenosaires.gob.ar/dataset/geriatricos
puntos-verdes,Gestión de Residuos en Puntos Verdes,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-07-06,18,CSV JSON XLSX ZIP,True,True,True,,,,6,ano | aparatos electronicos en desuso | avus | barrio | comuna | direccion | geometry | horario | id | lugar | materiales | mes | metal | nombre | observacio | otros plasticos | papel y carton | pequenos electrodomesticos | plastico pet | punto | semana | telgopor | tetra brik | tipo | vidrio | visitas,https://data.buenosaires.gob.ar/dataset/puntos-verdes
gestion-sanitaria-pandemia,Gestión sanitaria en pandemia,Ministerio de Salud,CC-BY-2.5-AR,2025-10-27,4,CSV XLSX,True,True,True,,,,6,aph | barrio | comuna | designados | domicilio | fecha | lat | long | nombre | perfil | tipo,https://data.buenosaires.gob.ar/dataset/gestion-sanitaria-pandemia
hospitales,Hospitales,Ministerio de Salud,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,telefono,6,altura | calle | cod_postal | depend_adm | director | dom_geo | dom_norma | fax | guardia | id | mod_at_1 | mod_at_2 | nom_map | nombre | objeto | telefono | tipo | tipo_espec | web | wkt,https://data.buenosaires.gob.ar/dataset/hospitales
hospitales-con-maternidades,Hospitales con Maternidades,Secretaría para la Igualdad de Género.,Creative Commons Attribution,2025-10-21,3,CSV JSON XLSX,True,True,True,,,telefono,6,altura | calle | cod_postal | depend_adm | depend_amb | director | dom_geo | dom_norma | geometry | guardia | id | mod_at_1 | mod_at_2 | nom_map | nombre | objeto | subdirector | telefono | tipo | tipo_espec | tipo_especial | web,https://data.buenosaires.gob.ar/dataset/hospitales-con-maternidades
iglesias,Iglesias,Secretaría General y Relaciones Internacionales,CC-BY-2.5-AR,2026-06-18,3,CSV XLSX ZIP,True,True,True,,,mail telefono,6,altura | altura	 | barrio | calle | calle	 | codigo_postal | codigo_postal_argentino | codigo_postal_argentino	 | comuna | cruce | cruce	 | e_mail | e_mail	 | lat | long | nombre | telefono | web,https://data.buenosaires.gob.ar/dataset/iglesias
informacion-meteorologica,Información Meteorológica,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-06-23,7,CSV PDF XLSX,True,True,True,,,,6,altura | barrio | calle | codigo postal | codigo postal argentino | comuna | direccion | direccion del viento | estacion | fecha | hora | humedad relativa (%) | identificador tmi | indice uv | latitud | longitud | precipitacion (mm) | presion atmosferica (mbar) | radiacion solar (w/m2) | temperatura (c) | velocidad del viento (m/s),https://data.buenosaires.gob.ar/dataset/informacion-meteorologica
instituciones-colectividades,Instituciones de Colectividades,Vicejefatura de Gobierno,CC-BY-2.5-AR,2026-06-23,3,CSV XLSX ZIP,True,True,True,,,telefono,6,altura | barrio | calle de cruce | codigo postal | codigo postal argentino | colectividad | comuna | correo electronico | departamento | fax | identificador | latitud | longitud | nombre | nombre de la calle | observaciones | oficina | piso | sitio web | telefono | tipo de institucion,https://data.buenosaires.gob.ar/dataset/instituciones-colectividades
intervenciones-peatonales,Intervenciones Peatonales,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-24,2,CSV XLSX,True,True,True,,,,6,comuna | denominacion | detalle de ubicacion | fin de obra | identificador | inicio de obra | latitud | longitud | macetas instaladas | metros cuadrados ganados al peaton | metros cuadrados pintados | periodo | tipo de proyecto,https://data.buenosaires.gob.ar/dataset/intervenciones-peatonales
licencias-conducir,Licencias de conducir,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-24,3,CSV XLSX ZIP,True,True,True,,,telefono,6,actividad | altura | barrio | calle de cruce | codigo postal | codigo postal argentino | comuna | correo electronico | enlace | identificador | identificador de registro | latitud | longitud | nombre de la calle | observacion | sede | telefono,https://data.buenosaires.gob.ar/dataset/licencias-conducir
linea-oficial,Linea Oficial,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2024-11-04,1,CSV,True,True,True,,,,6,calle | fuente | smp | wkt,https://data.buenosaires.gob.ar/dataset/linea-oficial
147-covid,Llamados 147 COVID-19.,Secretaria de Atención Ciudadana y Gestión Comunal,CC-BY-2.5-AR,2025-07-29,1,CSV,True,True,True,,,contacto,6,canal | categoria | comuna | comunabarrio | contacto | detalle_reclamo	 | domicilio_altura	 | domicilio_calle	 | estado_del_contacto	 | fecha_cierre_contacto	 | fecha_ingreso | lat | long | periodo,https://data.buenosaires.gob.ar/dataset/147-covid
lugares-culto,Lugares de Culto,Secretaría General y Relaciones Internacionales,CC-BY-2.5-AR,2026-07-28,2,CSV XLSX,True,True,True,,,,6,barrio | cgpc | cp | culto | domicilio | grupo | latitud | longitud | nombre_institucion,https://data.buenosaires.gob.ar/dataset/lugares-culto
lineas-constructivas-particularizadas,Líneas Constructivas Particularizadas,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2024-11-04,4,CSV GEOJSON XLSX ZIP,True,False,True,,,,6,gid | nro_ord | obs | the_geom | tipo,https://data.buenosaires.gob.ar/dataset/lineas-constructivas-particularizadas
medicion-radiaciones-no-ionizantes-rni,Medición de Radiaciones No Ionizantes (RNI),Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-06-23,6,CSV XLSX ZIP,True,True,True,,,,6,identificador usig | latitud | limites | longitud | nombre del informe pdf | numero de mediciones | numero de zona | rango de frecuencias | ubicacion | valor maximo medido | valor maximo permitido | zona,https://data.buenosaires.gob.ar/dataset/medicion-radiaciones-no-ionizantes-rni
mobiliario-urbano,Mobiliario Urbano,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2025-09-01,2,CSV XLSX,True,True,True,,,,6,barrio | calle_altura | calle_nombre | codigo_postal | codigo_postal_argentino | comuna | elemento | fecha_instalacion | lat | linea_1 | linea_2 | linea_3 | long | observaciones,https://data.buenosaires.gob.ar/dataset/mobiliario-urbano
monitor-reciclado,Monitor de Reciclado,Ministerio de Espacio Público e Higiene Urbana,Creative Commons Attribution,2026-01-23,5,CSV PDF XLSX,True,True,True,,,,6,10_s2 | 11_s2 | 12_s3 | 13_s3 | 14_s3 | 1_s1 | 2_s1 | 3_s1 | 4_s1 | 5_s1 | 6_s1 | 7_s2 | 8_s2 | 9_s2 | clasificacion | comuna | direccion_contenedor | estratificacion_geografica | fecha | indicador | latitud | longitud | med_id_bolsa | medicion | medicion  | origen | periodo | peso_neto_kg | resultado,https://data.buenosaires.gob.ar/dataset/monitor-reciclado
monumentos,Monumentos,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-24,2,CSV XLSX,True,True,True,,,,6,altura | autor o autores | barrio | calle | cantidad de objetos | codigo postal | codigo postal argentino | comuna | denominacion o representacion | direccion normalizada | identificador | latitud | longitud | material | observaciones | tipo de obra | ubicacion,https://data.buenosaires.gob.ar/dataset/monumentos
portales-inclusivos,Núcleo de Inclusión y Desarrollo de Oportunidades,Ministerio de Desarrollo Humano y Hábitat,CC-BY-2.5-AR,2026-07-22,2,CSV XLSX,True,True,True,,,,6,barrio | clasificacion | comuna | direccion | horario | nombre_oficina | observaciones | web | x | y,https://data.buenosaires.gob.ar/dataset/portales-inclusivos
obras-iniciadas,Obras Iniciadas.,Agencia Gubernamental de Control (AGC),CC-BY-2.5-AR,2026-07-22,4,CSV XLSX,True,True,True,,,,6,barrio | calle | calle_nro | codigo_postal | codigo_postal_argentino | comuna | destino | estado | estado_tramite | exp_dgroc | exp_dgroc	 | expediente | fecha_estado_tramite | fecha_inicio_obra | fecha_ultimo_avo | lat | long | manzana | metros_a_construir | parcela | periodo | profesional | seccion | tipo_obra | ultimo_avo_solicitado,https://data.buenosaires.gob.ar/dataset/obras-iniciadas
operativo-detectar,Operativo DetectAR,Ministerio de Salud,CC-BY-2.5-AR,2025-10-02,4,CSV JSON XLSX ZIP,True,True,True,,,,6,calle_altura | calle_nombre | comuna | direccion | geometry | id | lugar | observaciones,https://data.buenosaires.gob.ar/dataset/operativo-detectar
padron-anuncios-empadronados,Padrón de Anuncios Empadronados,Administración Gubernamental de Ingresos Públicos (AGIP),CC-BY-2.5-AR,2025-09-05,2,CSV XLSX,True,True,True,,,,6,calle_altura | calle_nombre | caracteristica | clase | direccion | estado_anuncio | fecha_alta_anuncio | fecha_alta_anuncio	 | lat | long | metros | nro_anuncio | tipo | zona,https://data.buenosaires.gob.ar/dataset/padron-anuncios-empadronados
paradas-taxis,Paradas de Taxis.,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,,6,cant_vehiculos_oficial | lat | long | ubicacion_parada_taxi,https://data.buenosaires.gob.ar/dataset/paradas-taxis
parcelas,Parcelas,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-07-07,8,CSV JSON XLSX ZIP,True,True,True,,,,6,ano de actualizacion | barrio | clase | comuna | dato origen | feature id | fecha | frente | geometria | identificador | lado de manzana | lindero | manzana | manzana-hoja | numero de domicilio | ochava | parcela | parcela esquina | particular | partida matriz | seccion | sistema de mensura parcelaria | smp | superficie,https://data.buenosaires.gob.ar/dataset/parcelas
pistas-skate,Pistas de Skate,Vicejefatura de Gobierno,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,,6,area_de_gobierno	 | barrio | categoria | comuna	 | direccion	 | direccion_normalizada	 | id | lat	 | long | nombre | objeto	 | observacion,https://data.buenosaires.gob.ar/dataset/pistas-skate
polideportivos,Polideportivos,Vicejefatura de Gobierno,CC-BY-2.5-AR,2026-07-03,4,CSV GEOJSON XLSX ZIP,True,False,True,,,,6,act | bar | com | dir | fna | geometry | gna | ing | nam | obs | sag | tel,https://data.buenosaires.gob.ar/dataset/polideportivos
premetro,Premetro.,Subterráneos de Buenos Aires (SBASE),CC-BY-2.5-AR,2026-07-28,11,CSV GEOJSON XLSX ZIP,True,False,True,,,,6,bar | com | dir | fna | geometry | gna | id | linea | nam | ral | ramal | sag | wkt,https://data.buenosaires.gob.ar/dataset/premetro
puestos-de-flores,Puestos de Flores.,Secretaria de Atención Ciudadana y Gestión Comunal,CC-BY-2.5-AR,2026-06-22,2,CSV XLSX,True,True,True,,,cuit dni titular,6,anio_exped | barrio | calle_altu | calle_nomb | comuna | dni_cuit | fecha_disp | fecha_vto_ | latitud | longitud | nro_dispo_ | nro_docume | nro_expedi | tipo_permi | titular,https://data.buenosaires.gob.ar/dataset/puestos-de-flores
puntos-atencion,Puntos de Atención,Secretaría Legal y Técnica,CC-BY-2.5-AR,2026-06-22,2,CSV XLSX,True,True,True,,,telefono,6,barrio | calle_altura | calle_nombre | categorias | codigo_postal | codigo_postal_argentino | comuna | horarios | observaciones | organismo | piso_dpto | punto_atencion | telefono,https://data.buenosaires.gob.ar/dataset/puntos-atencion
puntos-wi-fi-publicos,Puntos de Wi-Fi Públicos,Jefatura de Gabinete de Ministros,CC-BY-2.5-AR,2026-06-22,3,CSV XLSX ZIP,True,True,True,,,,6,altura | barrio | calle | calle2 | comuna | direccion | estado | etapa | etapa_obse | id | latitud | longitud | nombre | subcategoria | tipo,https://data.buenosaires.gob.ar/dataset/puntos-wi-fi-publicos
rampas-accesibilidad,Rampas de accesibilidad,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-22,7,CSV XLSX ZIP,True,True,True,,,,6,altura | calle | dom_geo | dom_norma | estado | id | mes | semana | x | y | zona,https://data.buenosaires.gob.ar/dataset/rampas-accesibilidad
registro-civil,Registro Civil,Dirección General Registro del Estado Civil y Capacidad de las Personas,CC-BY-2.5-AR,2026-06-22,6,CSV XLSX,True,True,True,,,telefono,6,altura | barrio | calle | centro_rapido | circunscripcion | codigo_postal | codigo_postal_argentino | comuna | direccion | horario | hospital | lat | lng | telefono | tramite | tramites,https://data.buenosaires.gob.ar/dataset/registro-civil
relojes-solares,Relojes solares,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-07-03,4,CSV JSON XLSX ZIP,True,True,True,,,,6,calle_altura | calle_cruce | calle_nombre | id | lat | long | observaciones,https://data.buenosaires.gob.ar/dataset/relojes-solares
residuos-patogenicos,Residuos Patogénicos,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-06-23,6,CSV XLSX,True,True,True,,,apellido cuil cuit telefono,6,apellido | barrio | categoria | certificado | codigo postal | codigo postal argentino | comuna | correo electronico | cuil | cuit | direccion normalizada | disposicion | domicilio | fecha de alta | fecha de registracion | latitud | longitud | nombre | numero de registro | razon social | rlm | tecnologia autorizada | telefono | vehiculos | vencimiento,https://data.buenosaires.gob.ar/dataset/residuos-patogenicos
santuarios,Santuarios,Secretaría General y Relaciones Internacionales,CC-BY-2.5-AR,2026-06-24,3,CSV XLSX ZIP,True,True,True,,,telefono,6,altura | barrio | calle | codigo postal | codigo postal argentino | comuna | correo electronico | direccion completa | identificador | latitud | longitud | nombre | observaciones | rector | sitio web | telefono | tipo de institucion,https://data.buenosaires.gob.ar/dataset/santuarios
sedes-vicarias-episcopales-zonales,Sedes de las Vicarías Episcopales Zonales,Secretaría General y Relaciones Internacionales,CC-BY-2.5-AR,2026-07-28,3,CSV XLSX ZIP,True,True,True,,,mail,6,barrio | calle | calle_nro | codigo_postal | codigo_postal_argentino | comuna | dpto | lat | long | mail | nombre | objeto | tel | vicario_ep,https://data.buenosaires.gob.ar/dataset/sedes-vicarias-episcopales-zonales
sensores-transito,Sensores de Tránsito,Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2026-06-22,3,CSV XLSX ZIP,True,True,True,,,,6,ano_insta | ano_insta	 | barrio | barrio	 | calle | comuna | cruce | direccion_ | id_sensor | lat | long | sistema_co | ubicacion | ubicacion_,https://data.buenosaires.gob.ar/dataset/sensores-transito
victimas-siniestros-viales,Siniestros viales,Secretaría de Transporte y Obras Públicas,Creative Commons Attribution,2026-07-14,5,CSV PDF XLSX,True,True,True,,,,6,aaaa | altura | calle | comuna | contraparte | cruce | dd | direccion_normalizada | edad_victima | fecha | fecha_fallecimiento | geocodificacion_caba | gravedad | hh | hora | id_hecho | latitud | longitud | mm | n_victimas | otra_direccion | participantes | rol_victima | sexo_victima | tipo_de_calle | tipo_de_dato | victima,https://data.buenosaires.gob.ar/dataset/victimas-siniestros-viales
subte-estaciones,Subte: Estaciones.,Subterráneos de Buenos Aires (SBASE),CC-BY-2.5-AR,2026-07-03,16,CSV GEOJSON JSON PDF XLSX ZIP,True,False,True,,,,6,artista | ascensores | escaleras mecanicas | estacion | geometry | id | latitud | linea | lineasub | longitud | total | year | year.chris,https://data.buenosaires.gob.ar/dataset/subte-estaciones
sumideros,Sumideros,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-23,15,CSV XLSX ZIP,True,True,True,,,,6,altura | calle principal | calle secundaria | diametro | geometria | identificador | numero de sumidero | tipo de sumidero | zona,https://data.buenosaires.gob.ar/dataset/sumideros
tejido-urbano,Tejido Urbano,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-07-01,4,CSV JSON XLSX ZIP,True,True,True,,,,6,acres | actualizac | agip | alt_2013 | alt_2017 | alt_ant | alt_extr | altos | altura | ant_2017 | area | area_1 | bajos | barrios | comuna | consolidad | extr_2017 | featid1 | flagtipo | fuente | gid | hectares | id | lay | len | man | objectid | observacio | origen | par | perimeter | piso_2013 | piso_2017 | sec | sm | smp | smp_2013 | smp_2017 | tag | the_geom,https://data.buenosaires.gob.ar/dataset/tejido-urbano
terrenos-valor-oferta,Terrenos: Valor de Oferta,Subsecretaría de Planeamiento,CC-BY-2.5-AR,2026-06-22,60,CSV XLSX ZIP,True,True,True,,,,6,ambientes | antig | banos | barrio | barrios | barrios_2 | cambio | comuna | comuna_ | comunas | cotizacion | direccion | dolarm2 | latitud | longitud | m2cub | m2total | mes | operacion | pesosm2 | precioars | precioarsm | preciopeso | preciousd | preciousdm | propiedads | tipo | trimestre_,https://data.buenosaires.gob.ar/dataset/terrenos-valor-oferta
transformadores-pcb,Transformadores PCB,Agencia de Protección Ambiental,CC-BY-2.5-AR,2026-06-24,3,CSV XLSX ZIP,True,True,True,,,,6,concentracion de pcb | domicilio | fluido dielectrico | geometria | identificador | marca | potencia (kva),https://data.buenosaires.gob.ar/dataset/transformadores-pcb
vacunatorios-adultos-mayores,Vacunatorios Adultos Mayores en Emergencia,Ministerio de Salud,CC-BY-2.5-AR,2025-08-25,4,CSV JSON XLSX ZIP,True,True,True,,,,6,aph | barrio | comuna | domicilio | lat | long | nombre | tipo,https://data.buenosaires.gob.ar/dataset/vacunatorios-adultos-mayores
vados,Vados,Ministerio de Espacio Público e Higiene Urbana,CC-BY-2.5-AR,2026-06-18,4,CSV GEOJSON XLSX ZIP,True,False,True,,,,6,clave_vado | clave_vere | lat | long | numero_ord | objectid | origendato,https://data.buenosaires.gob.ar/dataset/vados
verificacion-tecnica-vehicular-vtv,Verificación Técnica Vehicular (VTV),Secretaría de Transporte y Obras Públicas,CC-BY-2.5-AR,2025-10-02,4,CSV JSON XLSX ZIP,True,True,True,,,telefono,6,barrio | calle_altura | calle_nombre | comuna | direccion | geometry | id | link | planta | telefono,https://data.buenosaires.gob.ar/dataset/verificacion-tecnica-vehicular-vtv
volumen_vehicular,Volumen Vehicular,Secretaría de Transporte y Obras Públicas,Creative Commons Attribution,2026-06-24,4,XLSX,True,True,True,,,,6,anio_conteo | cantidad_carriles_via_conteos | comuna_conteo | conteo_vehiculos | cuarto_hora_conteo | dia_conteo | dia_semana_conteo | especificacion_via_conteos | fecha_conteo | franja_horaria_conteo | latitud del conteo | latitud_conteo | longitud del conteo | longitud_conteo | mes_conteo | sentido_circulacion_conteo | tipo_circulacion_via_conteos | tipo_vehiculo | ubicacion de conteo | ubicacion_conteo,https://data.buenosaires.gob.ar/dataset/volumen_vehicular
